aX,aY,aZ,gX,gY,gZ
-1.273,-1.180,1.702,-138.916,-106.567,91.553
-1.223,-0.805,0.619,-30.151,64.270,120.667
-0.883,-0.934,-1.160,16.479,191.284,103.882
-0.788,-1.070,-2.162,-38.574,219.727,90.271
-0.649,-0.921,-1.907,-92.041,165.161,90.881
-0.827,-0.594,-1.271,-121.033,103.760,96.313
-0.812,-0.306,-1.202,-132.874,76.294,92.834
-0.801,-0.411,-0.996,-206.482,51.086,72.693
-0.842,-0.504,-0.653,-231.567,22.339,63.782
-0.599,-0.083,-0.774,-254.517,16.846,76.843
-0.400,0.300,-1.034,-263.367,16.052,69.214
-0.242,0.176,-0.998,-252.075,-9.155,18.433
-0.061,-0.361,-0.725,-216.980,-31.311,-43.579
0.109,-0.921,-0.629,-154.236,-24.353,-94.360
0.101,-1.461,-1.039,-69.275,9.033,-132.019
-0.281,-2.086,-1.659,-9.949,30.640,-159.668
-0.369,-2.909,-0.893,-13.306,12.817,-164.368
-0.477,-2.854,-0.622,-2.380,27.527,-116.760
-0.677,-2.175,-0.996,-7.446,62.805,-48.889
-0.702,-1.752,-0.850,-38.025,51.331,-22.400
-0.723,-1.376,-0.301,-84.534,20.020,-16.846
-0.759,-1.075,0.105,-109.985,6.531,-10.193
-0.728,-0.858,0.146,-103.821,13.062,-5.310
-0.651,-0.741,0.026,-88.196,21.545,-4.150
-0.617,-0.739,-0.025,-71.533,22.888,-5.554
-0.534,-0.893,-0.061,-64.209,19.958,-4.761
-0.420,-1.175,-0.229,-38.452,23.865,-2.808
-0.365,-1.354,-0.479,-12.146,33.936,7.080
-0.367,-1.222,-0.614,-3.296,31.372,31.250
-0.414,-0.943,-0.479,-6.714,8.606,62.012
-0.382,-0.666,-0.177,-14.404,-20.081,90.332
-0.379,-0.616,0.020,-21.606,-31.860,107.483
-0.420,-0.690,0.020,-23.254,-22.278,113.586
-0.341,-0.788,-0.186,-12.207,-2.991,114.075
-0.298,-0.826,-0.560,7.019,14.160,111.755
-0.258,-0.860,-0.913,2.502,21.179,108.215
-0.306,-0.989,-1.077,11.292,12.207,97.778
-0.381,-1.152,-0.877,27.893,-10.010,86.060
-0.450,-1.167,-0.590,5.798,-29.785,88.013
-0.429,-0.987,-0.453,-36.743,-31.555,103.699
-0.370,-0.648,-0.552,-63.416,-17.639,117.737
-0.161,-0.364,-0.609,-67.505,-5.493,113.464
0.125,-0.240,-0.458,-59.814,-0.427,92.834
0.219,-0.177,-0.342,-56.946,2.563,65.063
0.092,-0.127,-0.288,-57.556,6.287,35.156
-0.162,-0.202,-0.158,-55.176,2.563,4.333
-0.334,-0.476,0.099,-57.678,-4.578,-24.658
-0.476,-0.830,0.327,-54.932,-3.479,-42.847
-0.501,-1.085,0.218,-58.289,13.489,-46.997
-0.347,-1.299,-0.027,-65.063,31.128,-43.823
-0.206,-1.433,-0.356,-59.387,37.109,-36.011
-0.157,-1.546,-0.578,-64.941,28.748,-30.762
-0.136,-1.556,-0.623,-67.139,5.920,-20.935
-0.321,-1.629,-0.601,-84.717,-22.644,3.784
0.078,-1.495,-0.409,-129.211,-53.162,58.472
0.119,-0.882,-0.357,-198.425,-64.880,130.493
0.165,-0.538,-0.386,-240.967,-66.833,155.029
0.250,-0.473,-0.414,-216.858,-75.867,143.982
0.127,-0.303,-0.388,-204.529,-93.506,135.986
0.079,-0.056,-0.430,-216.431,-115.112,125.610
-0.029,-0.088,-0.393,-207.275,-145.142,95.764
-0.059,-0.314,-0.142,-181.580,-177.307,54.504
-0.160,-0.532,0.104,-123.535,-198.853,13.611
-0.273,-0.866,0.279,-109.314,-200.989,-24.719
-0.339,-1.110,0.399,-124.084,-190.063,-50.049
-0.363,-1.160,0.509,-140.076,-169.617,-52.856
-0.070,-1.139,0.627,-141.663,-138.672,-40.833
0.231,-1.224,0.693,-73.792,-98.999,-31.006
0.208,-1.437,0.586,3.357,-55.115,-29.114
0.022,-1.646,0.396,52.612,-19.836,-21.667
-0.250,-1.627,0.282,60.913,1.160,-0.977
-0.388,-1.334,0.364,31.372,11.047,21.057
-0.350,-1.077,0.442,5.310,22.461,26.489
-0.355,-0.905,0.277,-2.808,38.391,19.775
-0.323,-0.713,-0.009,-7.446,46.143,12.085
-0.226,-0.587,-0.165,-17.822,34.912,1.587
-0.143,-0.652,-0.098,-18.311,10.742,-12.146
-0.120,-0.815,0.020,-7.935,-9.583,-23.560
-0.114,-1.015,0.126,1.648,-20.264,-33.569
-0.086,-1.207,0.195,-0.366,-23.071,-41.382
-0.113,-1.377,0.218,-12.268,-21.912,-44.861
-0.164,-1.392,0.207,-30.273,-19.104,-38.940
-0.173,-1.237,0.152,-52.551,-16.479,-23.193
-0.183,-1.017,0.073,-73.120,-16.724,-7.507
-0.130,-0.897,0.040,-79.468,-22.705,-2.747
-0.133,-0.876,0.083,-65.552,-31.921,-6.042
-0.130,-0.911,0.180,-50.964,-37.537,-12.634
-0.116,-0.952,0.238,-34.973,-35.034,-16.846
-0.124,-1.046,0.231,-12.207,-28.076,-20.630
-0.164,-1.167,0.163,-0.244,-21.423,-22.583
-0.171,-1.234,0.137,-3.357,-20.264,-17.090
-0.258,-1.214,0.142,-14.221,-24.109,-6.287
-0.300,-1.089,0.176,-37.598,-28.015,6.470
-0.347,-0.949,0.238,-60.608,-29.541,15.259
-0.291,-0.897,0.266,-68.787,-28.931,13.306
-0.240,-0.934,0.277,-63.049,-27.954,4.089
-0.230,-0.978,0.296,-58.899,-26.794,-3.967
-0.228,-1.002,0.327,-51.575,-23.743,-7.629
-0.222,-1.015,0.329,-35.400,-17.944,-8.240
-0.235,-0.998,0.304,-20.935,-10.498,-5.920
-0.259,-0.984,0.261,-12.268,-3.357,-3.967
-0.263,-1.023,0.235,-2.014,1.953,-3.235
-0.241,-1.089,0.226,4.639,5.859,-1.770
-0.205,-1.071,0.164,4.211,9.705,2.930
-0.169,-0.995,0.104,1.282,10.498,7.568
-0.167,-0.936,0.072,-5.859,6.775,8.911
-0.209,-0.910,0.070,-13.062,-0.366,7.935
-0.174,-0.920,0.143,-20.691,-7.507,7.507
-0.144,-0.903,0.252,-23.743,-10.864,8.850
-0.155,-0.909,0.356,-18.738,-9.827,7.935
-0.200,-0.995,0.384,-20.325,-3.906,4.517
-0.236,-0.981,0.283,-26.978,3.784,5.859
-0.289,-0.976,0.276,-25.085,4.395,8.362
-0.341,-1.003,0.299,-25.757,1.221,8.057
-0.329,-1.042,0.371,-27.161,-0.916,8.484
-0.288,-1.086,0.428,-15.198,1.160,9.949
-0.244,-1.065,0.399,4.944,8.789,14.038
-0.195,-1.025,0.282,17.090,17.395,18.188
-0.140,-0.979,0.230,16.479,20.264,21.423
-0.100,-0.916,0.218,12.024,19.165,22.278
-0.073,-0.900,0.208,10.681,16.174,17.761
-0.065,-0.965,0.231,3.723,11.658,10.437
-0.075,-1.013,0.250,-4.700,7.751,7.202
-0.086,-1.031,0.210,-15.015,2.747,8.545
-0.124,-1.010,0.272,-33.752,-4.089,12.268
-0.179,-0.986,0.369,-58.594,-7.263,17.029
-0.153,-0.966,0.386,-82.336,-6.348,21.240
-0.151,-0.892,0.405,-90.332,-4.150,23.743
-0.141,-0.934,0.468,-83.496,-3.845,20.325
-0.154,-0.983,0.449,-64.331,-2.563,15.503
-0.194,-0.982,0.430,-46.814,-1.282,15.686
-0.194,-0.966,0.389,-36.011,0.000,18.616
-0.152,-0.936,0.379,-30.762,0.305,21.790
-0.099,-0.915,0.408,-24.414,-0.305,21.790
-0.070,-0.918,0.426,-19.348,0.610,19.958
-0.079,-0.942,0.398,-13.184,1.709,16.968
-0.110,-0.950,0.427,-11.658,0.977,15.381
-0.142,-0.952,0.439,-11.597,1.038,15.625
-0.139,-0.940,0.408,-14.160,3.662,17.151
-0.130,-0.943,0.362,-23.254,5.188,18.250
-0.090,-0.919,0.340,-38.086,3.418,17.700
-0.077,-0.886,0.364,-41.382,-1.038,15.381
-0.050,-0.930,0.416,-38.330,-4.395,9.338
-0.067,-0.960,0.438,-26.978,-5.615,4.150
-0.082,-0.952,0.462,-15.625,-5.005,2.136
-0.113,-0.949,0.462,-4.517,-3.906,-0.244
-0.173,-0.961,0.453,2.808,-1.160,-2.319
-0.197,-0.996,0.436,9.216,2.380,-2.502
-0.189,-0.999,0.478,12.756,5.920,0.122
-0.148,-0.974,0.461,14.099,12.329,3.906
-0.100,-0.932,0.401,12.756,19.165,6.409
-0.058,-0.917,0.349,10.559,21.790,5.920
-0.033,-0.930,0.324,15.808,19.043,3.296
-0.032,-0.952,0.345,23.437,12.939,0.305
-0.071,-0.951,0.379,30.762,6.897,-1.648
-0.132,-0.958,0.410,32.227,4.456,-2.197
-0.168,-0.972,0.404,29.541,5.737,-1.526
-0.168,-0.989,0.378,29.297,7.385,0.610
-0.140,-0.988,0.403,26.611,7.751,3.296
-0.118,-1.001,0.442,28.259,9.094,4.822
-0.104,-1.002,0.424,36.926,12.878,5.615
-0.092,-0.985,0.387,43.213,16.907,6.348
-0.065,-0.975,0.318,43.945,18.982,5.920
-0.028,-0.967,0.243,44.983,17.700,4.761
-0.035,-0.952,0.202,41.992,12.268,3.784
-0.083,-0.953,0.197,40.527,3.662,2.502
-0.128,-0.948,0.266,35.767,-4.028,1.953
-0.144,-0.961,0.330,27.954,-7.141,1.953
-0.124,-0.997,0.355,22.156,-5.737,1.892
-0.105,-1.020,0.351,19.348,-2.747,2.319
-0.097,-1.030,0.308,16.602,0.732,3.662
-0.123,-1.037,0.306,15.015,2.930,5.188
-0.129,-1.079,0.366,23.315,4.395,4.700
-0.122,-1.146,0.413,38.086,8.667,3.296
-0.106,-1.172,0.357,47.119,16.602,5.310
-0.063,-1.078,0.212,41.687,24.292,10.681
-0.042,-0.939,0.097,27.832,24.353,15.076
-0.052,-0.851,0.064,18.860,15.808,13.489
-0.083,-0.821,0.091,13.245,5.310,8.911
-0.107,-0.840,0.144,9.399,-2.136,4.211
-0.132,-0.903,0.193,9.521,-6.348,-0.305
-0.164,-0.972,0.242,7.141,-9.033,-2.441
-0.186,-1.004,0.288,6.226,-9.705,-1.831
-0.171,-0.992,0.312,0.854,-7.324,1.282
-0.124,-0.972,0.305,0.610,-3.540,4.395
-0.088,-0.989,0.294,5.188,-0.305,5.554
-0.072,-1.063,0.305,11.536,2.136,5.615
-0.049,-1.141,0.326,22.705,3.784,6.836
-0.043,-1.186,0.354,29.114,5.859,10.071
-0.058,-1.214,0.362,34.485,9.277,13.245
-0.062,-1.211,0.335,36.133,14.038,17.456
-0.044,-1.178,0.294,33.081,18.250,23.743
-0.055,-1.105,0.239,30.151,20.813,30.273
-0.083,-0.968,0.132,23.560,20.203,33.569
-0.073,-0.860,0.065,13.367,13.000,27.771
-0.082,-0.892,0.126,9.827,0.793,15.137
-0.091,-0.889,0.235,9.399,-5.432,6.775
-0.073,-0.853,0.253,4.395,-2.625,2.014
-0.024,-0.835,0.172,0.305,4.883,-2.380
0.000,-0.860,0.115,2.625,7.568,-5.859
0.002,-0.890,0.092,-0.916,5.188,-7.385
0.018,-0.897,0.127,-6.836,0.122,-8.179
