aX,aY,aZ,gX,gY,gZ
-0.652,0.577,-2.502,32.410,290.771,33.630
-0.643,0.397,-3.014,51.758,252.991,19.653
-0.602,0.270,-3.103,54.016,177.551,21.362
-0.537,0.448,-2.793,42.419,96.558,38.147
-0.488,0.686,-2.311,39.551,34.729,51.636
-0.470,0.822,-2.020,30.701,10.254,48.706
-0.460,0.874,-1.980,17.761,10.803,37.476
-0.449,0.814,-2.110,4.272,18.433,21.179
-0.474,0.646,-2.318,-5.554,20.813,5.188
-0.499,0.470,-2.506,-11.230,12.390,-4.761
-0.526,0.343,-2.622,-11.536,-6.836,-8.179
-0.546,0.281,-2.606,-8.118,-33.997,-7.446
-0.569,0.265,-2.454,-3.418,-65.186,-4.395
-0.567,0.318,-2.369,-0.183,-90.576,-2.380
-0.554,0.251,-2.174,4.517,-116.089,-2.808
-0.515,0.250,-1.910,-2.930,-142.883,-0.610
-0.494,0.338,-1.659,-20.813,-161.804,8.789
-0.465,0.419,-1.396,-26.306,-175.903,14.282
-0.449,0.425,-1.141,-20.325,-187.378,13.733
-0.398,0.496,-0.953,-28.442,-188.965,15.991
-0.331,0.586,-0.879,-39.612,-182.068,19.470
-0.255,0.624,-0.852,-41.992,-177.246,16.296
-0.190,0.572,-0.793,-38.025,-178.833,6.348
-0.147,0.454,-0.679,-29.907,-185.852,-4.028
-0.115,0.335,-0.485,-27.954,-196.106,-9.827
-0.086,0.239,-0.218,-33.569,-205.017,-9.277
-0.051,0.167,0.049,-46.082,-204.834,-2.930
0.002,0.161,0.267,-61.707,-192.383,8.606
0.082,0.232,0.372,-70.923,-168.274,22.461
0.155,0.346,0.396,-75.195,-136.414,32.166
0.202,0.430,0.319,-69.824,-102.661,33.386
0.229,0.423,0.157,-56.213,-71.777,26.367
0.244,0.356,-0.022,-39.978,-50.415,16.724
0.245,0.290,-0.125,-31.677,-40.527,9.949
0.242,0.227,-0.131,-30.945,-38.025,5.432
0.229,0.192,-0.103,-35.645,-36.621,3.357
0.233,0.213,-0.073,-40.649,-32.166,2.625
0.249,0.249,-0.092,-39.185,-23.499,-1.587
0.234,0.210,-0.121,-27.344,-13.733,-13.000
0.206,0.061,-0.139,-10.620,-5.737,-30.396
0.150,-0.152,-0.121,5.249,1.343,-45.959
0.099,-0.400,-0.070,18.127,10.620,-53.589
0.074,-0.641,-0.007,26.733,24.719,-51.758
0.035,-0.771,-0.034,31.921,49.011,-37.537
0.002,-0.725,-0.248,28.259,81.787,-12.756
0.001,-0.530,-0.595,17.029,112.061,13.245
0.001,-0.316,-0.963,10.071,130.798,32.410
-0.024,-0.152,-1.333,11.108,136.292,42.786
-0.051,-0.049,-1.658,8.545,125.793,47.119
-0.037,0.029,-1.767,3.296,95.459,49.316
-0.009,0.150,-1.523,5.981,52.917,50.049
-0.003,0.256,-1.180,4.456,25.024,46.997
-0.025,0.295,-1.026,2.075,24.414,39.124
-0.027,0.274,-1.063,6.531,37.659,28.687
-0.032,0.183,-1.185,12.085,49.500,17.761
-0.011,0.109,-1.298,10.315,53.223,10.803
0.004,0.073,-1.352,3.906,48.218,8.301
0.003,0.081,-1.332,-4.395,36.926,7.751
0.000,0.109,-1.279,-10.803,23.560,6.165
-0.006,0.093,-1.203,-9.521,8.911,1.282
0.008,0.046,-1.125,-4.395,-6.470,-4.578
-0.026,-0.040,-1.061,1.282,-21.057,-9.766
-0.031,-0.107,-0.956,4.211,-37.964,-11.047
-0.012,-0.103,-0.849,-0.793,-52.307,-8.057
-0.046,-0.009,-0.730,-13.367,-63.232,-3.967
0.026,0.038,-0.562,-21.912,-69.580,-3.784
0.059,0.121,-0.510,-15.686,-65.430,-5.554
0.105,0.136,-0.564,-4.456,-55.847,-11.169
0.147,0.088,-0.569,5.798,-55.359,-21.606
0.208,-0.005,-0.498,6.409,-61.523,-32.349
0.245,-0.100,-0.388,-1.099,-66.650,-38.025
0.296,-0.079,-0.350,-15.503,-64.026,-33.997
0.298,-0.063,-0.553,-19.653,-52.307,-27.649
0.274,-0.066,-0.922,-8.301,-45.654,-26.489
0.259,-0.076,-1.073,-3.296,-63.293,-26.062
0.224,-0.080,-0.993,-11.414,-96.130,-23.987
0.189,-0.067,-0.844,-22.278,-123.474,-18.433
0.160,-0.062,-0.649,-30.640,-140.991,-12.207
0.196,-0.065,-0.475,-41.748,-148.804,-5.920
0.302,0.034,-0.242,-59.692,-146.118,0.854
0.456,0.224,-0.169,-50.537,-134.521,5.981
0.507,0.360,-0.194,-45.227,-118.347,1.404
0.517,0.454,-0.218,-31.616,-105.652,-11.353
0.447,0.419,-0.196,-16.663,-95.764,-33.020
0.396,0.113,-0.165,1.953,-83.435,-65.125
0.441,-0.261,-0.156,7.019,-65.369,-91.309
0.460,-0.378,-0.192,-14.709,-44.495,-90.454
0.422,-0.276,-0.236,-40.649,-23.865,-69.153
0.434,-0.021,-0.466,-44.922,-0.427,-46.265
0.454,0.143,-0.755,-38.086,16.907,-40.588
0.494,0.100,-1.047,-22.522,21.240,-52.368
0.573,0.003,-1.319,-3.052,10.132,-62.622
0.621,0.085,-1.316,0.427,-16.418,-60.425
0.622,0.234,-1.094,-7.385,-41.077,-58.228
0.494,0.396,-0.820,-34.729,-47.363,-60.974
0.250,0.125,-0.520,-53.894,-38.452,-78.064
-0.047,-0.708,-0.241,-54.871,-8.911,-109.924
-0.345,-1.686,-0.083,-55.481,51.941,-118.347
-0.355,-2.025,-0.578,-52.124,141.846,-61.035
0.056,-1.350,-1.671,-64.392,212.341,61.890
0.354,0.144,-2.662,-105.469,207.458,197.693
0.609,1.727,-2.956,-123.657,114.502,264.282
0.855,2.720,-2.311,-82.947,-32.349,232.239
0.755,2.548,-0.799,-86.853,-178.284,131.531
0.647,1.925,0.620,-143.738,-254.883,25.635
0.628,1.430,1.668,-205.444,-250.977,-45.532
0.545,1.021,2.535,-263.489,-185.913,-97.412
0.289,0.351,2.707,-239.075,-62.744,-151.978
0.034,-0.575,1.647,-126.465,95.825,-200.195
-0.207,-1.258,0.287,-52.307,216.125,-204.346
-0.382,-1.687,-0.439,-18.738,248.047,-173.889
-0.432,-1.943,-0.789,49.133,238.342,-133.362
-0.513,-2.149,-1.017,126.831,219.177,-92.102
-0.624,-2.309,-1.185,136.169,191.589,-40.222
-0.517,-2.111,-0.926,37.781,138.306,40.710
-0.437,-1.067,-0.387,-53.955,65.552,146.545
0.026,0.095,0.147,-125.183,18.250,221.313
0.247,1.144,0.181,-106.873,16.052,235.229
0.214,1.806,-0.077,-75.073,40.344,180.603
0.148,1.220,0.036,-69.946,43.335,53.772
-0.169,-0.202,0.489,-75.195,43.640,-76.477
-0.565,-1.101,0.682,-106.934,89.600,-124.939
-0.705,-1.066,0.377,-139.893,162.720,-90.210
-0.600,-0.480,-0.593,-154.724,242.249,-28.870
-0.422,0.016,-1.672,-147.949,292.542,-1.160
-0.365,0.362,-2.401,-115.906,284.607,-0.916
-0.550,0.462,-2.751,-62.195,229.614,-20.447
-0.854,0.065,-2.399,-2.563,146.057,-62.012
-1.272,-0.465,-1.707,39.795,79.468,-98.938
-1.500,-0.850,-1.088,75.439,64.819,-112.793
-1.672,-0.910,-0.843,92.651,95.947,-99.792
-1.454,-0.682,-0.659,63.843,134.033,-75.867
-1.206,-0.097,-0.764,48.889,163.330,-47.302
-0.628,0.665,-1.340,3.662,181.885,-23.682
-0.394,1.050,-1.889,19.043,166.077,-33.813
-0.101,0.977,-2.721,69.458,141.724,-78.430
-0.353,0.600,-3.597,160.156,111.023,-153.259
-0.400,-0.163,-3.977,231.506,76.172,-244.995
-0.687,-0.918,-3.570,252.991,22.522,-307.434
-0.758,-2.019,-2.393,182.129,-32.837,-305.725
-0.894,-2.941,-1.014,60.608,-62.439,-209.167
-1.121,-2.498,0.042,32.166,-54.993,-30.151
-1.088,-1.060,-0.161,-4.028,-10.498,159.729
-0.834,0.884,-0.895,-125.305,20.386,285.034
-0.640,2.060,-1.011,-192.322,8.728,260.925
-0.739,1.332,-1.270,-266.602,-20.508,102.539
-0.541,-0.081,-0.905,-377.319,-59.509,-46.143
-0.554,-1.208,-0.641,-429.626,-34.729,-104.004
-0.702,-1.535,-0.940,-382.690,39.307,-80.627
-0.922,-1.250,-1.989,-280.884,127.502,-39.063
-1.276,-0.926,-3.298,-240.967,169.800,-26.428
-1.578,-1.117,-3.740,-222.168,101.990,-56.213
-1.973,-1.437,-2.603,-93.994,-62.378,-81.604
-1.940,-1.821,-0.637,12.207,-204.163,-61.462
-1.376,-1.835,1.220,-100.037,-224.792,5.310
