aX,aY,aZ,gX,gY,gZ
0.750,-0.268,1.859,0.549,-5.188,-14.709
0.778,-0.304,1.821,-7.263,5.676,-13.611
0.814,-0.260,1.745,-9.949,12.695,-10.498
0.831,-0.196,1.725,-10.986,13.733,-8.789
0.811,-0.143,1.698,-9.155,15.198,-6.348
0.782,-0.198,1.734,-10.010,14.160,-8.545
0.711,-0.117,1.644,-14.160,16.113,-6.958
0.658,-0.111,1.569,-19.531,15.747,-10.010
0.597,-0.108,1.491,-30.029,12.512,-17.334
0.567,-0.172,1.465,-44.067,5.920,-24.475
0.551,-0.272,1.435,-58.105,0.305,-27.954
0.545,-0.233,1.391,-65.674,-2.747,-23.560
0.553,-0.155,1.271,-61.584,-2.258,-18.677
0.554,-0.157,1.103,-60.547,-1.343,-18.494
0.531,-0.114,0.960,-64.392,-4.028,-16.846
0.495,-0.051,0.839,-68.848,-9.888,-14.709
0.453,-0.032,0.745,-75.256,-16.724,-13.794
0.403,-0.052,0.636,-85.022,-22.705,-12.817
0.351,-0.044,0.557,-98.022,-28.748,-9.888
0.287,0.030,0.461,-108.276,-33.630,-4.456
0.231,0.098,0.387,-110.046,-37.659,-1.648
0.182,0.131,0.354,-107.849,-42.053,-1.831
0.137,0.118,0.331,-103.577,-44.739,-3.357
0.104,0.082,0.309,-98.145,-45.105,-5.371
0.093,0.080,0.310,-87.463,-44.556,-7.385
0.056,0.007,0.323,-75.500,-43.640,-11.169
0.040,-0.000,0.329,-65.002,-40.527,-12.512
0.021,0.043,0.301,-50.232,-35.400,-10.803
0.011,0.063,0.323,-39.124,-31.006,-11.047
-0.004,0.085,0.325,-31.738,-24.780,-11.169
-0.011,0.117,0.322,-26.672,-16.235,-10.864
-0.007,0.130,0.296,-20.996,-7.080,-10.986
-0.022,0.140,0.274,-13.489,0.122,-11.658
-0.011,0.121,0.279,-2.686,5.737,-13.000
0.041,0.074,0.321,11.353,10.254,-13.123
0.123,0.029,0.373,26.917,14.709,-10.315
0.184,0.032,0.371,41.382,20.386,-5.005
0.206,0.070,0.368,52.185,24.536,0.122
0.224,0.091,0.374,56.824,25.208,5.249
0.214,0.095,0.399,58.350,22.339,10.376
0.210,0.101,0.445,60.852,14.465,15.320
0.168,0.107,0.598,64.636,0.671,20.203
0.172,0.144,0.819,65.918,-13.611,23.743
0.137,0.146,1.148,62.683,-23.804,23.254
0.159,0.079,1.476,48.096,-23.254,18.250
0.220,0.118,1.583,27.832,-8.545,14.832
0.262,0.030,1.602,6.714,8.789,7.385
0.331,0.032,1.588,-8.301,22.644,4.944
0.402,0.358,1.521,-13.306,32.654,14.038
0.451,0.601,1.439,-15.259,37.659,14.771
0.477,0.612,1.425,-14.893,36.255,3.174
0.491,0.580,1.466,-10.193,31.677,-7.141
0.483,0.545,1.505,-5.127,27.466,-13.855
0.465,0.472,1.523,-3.601,23.682,-19.775
0.440,0.390,1.570,-2.625,18.250,-25.146
0.407,0.297,1.644,-3.723,12.634,-30.457
0.382,0.194,1.666,-7.935,10.376,-35.278
0.377,0.094,1.673,-12.756,10.498,-39.551
0.380,0.002,1.700,-17.517,10.071,-42.847
0.395,-0.074,1.717,-22.400,11.414,-44.495
0.415,-0.157,1.701,-26.733,14.954,-43.335
0.436,-0.150,1.614,-30.640,20.020,-36.865
0.447,-0.057,1.511,-30.884,23.682,-26.855
0.444,0.061,1.401,-30.945,25.024,-18.921
0.438,0.136,1.264,-31.799,25.024,-14.832
0.428,0.176,1.143,-33.386,22.705,-12.695
0.400,0.150,1.063,-35.278,18.555,-10.864
0.372,0.170,0.942,-31.494,15.625,-6.592
0.361,0.234,0.825,-22.705,12.756,-3.113
0.331,0.184,0.779,-20.935,7.141,-5.432
0.307,0.082,0.742,-23.437,3.723,-9.766
0.289,0.009,0.700,-27.710,3.479,-9.766
0.268,0.016,0.607,-33.691,5.554,-4.761
0.267,0.102,0.483,-36.438,8.362,1.770
0.257,0.162,0.373,-37.231,8.362,4.700
0.248,0.142,0.310,-35.645,5.676,2.502
0.242,0.119,0.286,-34.485,2.441,0.671
0.233,0.168,0.257,-32.837,1.465,1.160
0.234,0.237,0.189,-30.884,2.808,1.099
0.224,0.239,0.130,-31.494,2.869,-2.686
0.222,0.189,0.105,-31.250,0.610,-7.874
0.214,0.099,0.129,-27.588,-2.441,-10.803
0.216,0.070,0.170,-25.879,-3.479,-8.606
0.199,0.161,0.148,-25.879,-1.526,-3.906
0.172,0.216,0.108,-26.367,0.000,-4.822
0.170,0.227,0.120,-25.574,-2.380,-11.108
0.176,0.228,0.181,-20.386,-6.409,-18.250
0.210,0.195,0.261,-13.794,-10.193,-24.475
0.250,0.112,0.340,-9.277,-12.146,-27.710
0.312,0.056,0.444,-2.136,-13.428,-25.940
0.380,0.120,0.530,12.329,-13.184,-18.982
0.466,0.263,0.647,29.114,-11.597,-12.573
0.544,0.332,0.764,40.344,-7.935,-12.024
0.626,0.315,0.858,44.861,-3.601,-14.160
0.677,0.309,0.913,46.143,-2.075,-12.390
0.749,0.240,1.005,44.739,-6.287,-8.545
0.742,0.177,1.201,37.415,-16.113,-3.540
0.736,0.065,1.395,25.818,-22.583,1.343
0.719,0.002,1.500,6.714,-23.010,5.066
0.677,0.175,1.456,-11.353,-20.874,10.132
0.663,0.345,1.466,-18.188,-25.818,5.737
0.639,0.294,1.610,-15.442,-35.522,-9.521
0.653,0.168,1.795,-10.742,-40.833,-23.315
0.677,0.106,1.890,-7.446,-36.743,-26.245
0.698,0.020,1.934,-7.629,-29.053,-23.926
0.694,-0.002,1.944,-9.583,-21.912,-18.005
0.646,0.033,1.932,-11.902,-15.686,-9.094
0.599,0.103,1.893,-16.846,-10.132,-2.747
0.539,0.208,1.831,-22.949,-4.578,-0.183
0.489,0.285,1.800,-31.494,0.488,-2.808
0.443,0.342,1.720,-40.955,7.324,-9.155
0.425,0.341,1.594,-47.913,14.709,-18.005
0.423,0.287,1.491,-55.176,18.311,-27.527
0.421,0.254,1.325,-62.805,21.301,-33.020
0.423,0.181,1.159,-71.289,22.888,-36.682
0.484,0.060,0.989,-80.444,21.790,-37.415
0.382,-0.003,0.698,-73.792,16.357,-29.663
0.406,0.074,0.708,-46.936,0.916,-18.494
0.361,0.007,0.680,-51.514,-7.141,-13.672
0.363,-0.009,0.512,-59.998,-6.348,-4.883
0.302,0.076,0.396,-62.683,-10.864,7.202
0.300,0.169,0.387,-48.340,-18.433,16.479
0.294,0.178,0.410,-36.743,-21.729,18.616
0.254,0.106,0.367,-39.429,-19.836,17.395
0.219,0.085,0.307,-43.152,-15.930,19.897
0.193,0.095,0.248,-38.696,-14.160,23.621
0.168,0.123,0.204,-32.837,-14.038,26.062
0.134,0.151,0.209,-34.119,-13.794,26.001
0.120,0.168,0.180,-26.733,-11.719,24.658
0.099,0.193,0.170,-21.057,-10.193,22.522
0.087,0.203,0.174,-14.771,-8.240,19.409
0.080,0.206,0.189,-10.010,-5.249,15.686
0.075,0.237,0.180,-5.005,-0.366,12.268
0.077,0.271,0.156,0.793,5.981,7.751
0.070,0.312,0.150,5.554,11.597,1.648
0.067,0.342,0.180,10.559,16.357,-5.127
0.069,0.327,0.221,17.090,21.545,-13.489
0.097,0.256,0.222,26.489,27.710,-22.400
0.136,0.165,0.248,38.513,30.945,-28.625
0.185,0.142,0.325,54.321,30.396,-29.053
0.251,0.161,0.462,72.266,28.320,-25.757
0.308,0.130,0.648,83.618,25.391,-22.400
0.330,0.084,0.805,87.708,24.719,-17.517
0.327,0.075,0.929,90.027,24.902,-9.644
0.337,0.071,1.101,89.905,22.156,-2.380
0.362,0.063,1.374,84.534,17.883,4.272
0.405,0.111,1.562,69.092,20.203,11.475
0.467,0.257,1.551,48.645,30.151,16.724
0.562,0.491,1.439,29.053,36.743,17.456
0.641,0.655,1.368,13.428,34.058,12.756
0.731,0.769,1.331,2.014,25.635,5.920
0.776,0.775,1.351,-2.625,15.625,-1.648
0.792,0.666,1.410,-5.554,6.531,-9.460
0.752,0.564,1.464,-8.423,0.305,-13.550
0.687,0.499,1.514,-9.644,-4.517,-15.015
0.599,0.425,1.615,-8.545,-9.827,-18.066
0.525,0.297,1.732,-8.301,-13.977,-24.170
0.474,0.177,1.810,-11.719,-13.733,-29.663
0.473,0.109,1.840,-18.066,-9.521,-31.921
0.455,-0.022,1.844,-24.414,-3.052,-31.921
0.485,0.073,1.677,-9.644,6.775,-25.391
0.522,0.094,1.666,-0.244,12.939,-23.376
0.538,0.025,1.545,-12.939,19.653,-26.001
0.556,0.064,1.296,-19.287,29.175,-19.104
0.562,0.135,1.138,-23.682,30.029,-10.193
0.552,0.166,1.004,-24.353,28.503,-4.150
0.526,0.214,0.898,-22.278,23.376,-0.671
0.502,0.207,0.795,-23.560,17.700,-2.441
0.467,0.127,0.752,-33.264,11.292,-5.127
0.422,0.110,0.663,-40.894,5.798,-4.639
