aX,aY,aZ,gX,gY,gZ
0.927,0.935,-1.305,66.895,141.785,46.326
0.822,1.014,-1.350,74.280,108.643,30.640
0.775,0.803,-1.217,95.154,70.435,-1.038
0.840,0.563,-1.003,112.732,37.231,-22.522
0.907,0.401,-0.789,110.779,18.188,-29.846
0.903,0.256,-0.614,100.769,9.949,-31.677
0.890,0.124,-0.508,92.041,10.437,-30.396
0.885,0.056,-0.520,83.496,17.090,-23.315
0.897,0.284,-0.516,58.411,27.039,-8.850
0.851,0.515,-0.620,39.978,36.255,-0.488
0.829,0.664,-0.697,47.791,40.710,-0.122
0.794,0.698,-0.733,55.847,38.757,-7.751
0.761,0.655,-0.725,66.406,33.569,-22.156
0.740,0.587,-0.662,76.050,27.954,-35.400
0.723,0.490,-0.583,83.008,22.888,-43.701
0.664,0.166,-0.752,112.427,21.484,-49.927
0.682,-0.092,-0.815,143.433,11.658,-41.687
0.637,0.092,-0.675,130.859,-4.272,-13.123
0.686,0.509,-0.512,96.619,-13.916,15.747
0.682,0.686,-0.490,60.730,-7.263,18.982
0.655,0.539,-0.685,7.263,12.573,2.014
0.619,0.383,-0.817,-49.622,23.987,-6.653
0.607,0.366,-0.771,-87.830,21.851,0.122
0.581,0.423,-0.679,-117.432,19.897,12.146
0.625,0.510,-0.711,-143.372,27.283,22.583
0.666,0.624,-0.834,-159.912,37.415,26.917
0.665,0.688,-1.000,-140.930,40.771,20.386
0.645,0.646,-1.142,-108.093,32.959,5.859
0.620,0.466,-1.144,-100.159,17.761,-10.498
0.615,0.352,-1.089,-99.670,3.784,-18.127
0.630,0.316,-1.027,-96.375,-4.456,-19.531
0.642,0.288,-0.960,-90.088,-7.935,-22.766
0.645,0.196,-0.947,-78.613,-7.996,-29.053
0.662,0.130,-0.900,-71.228,-7.141,-33.081
0.674,0.155,-0.867,-71.472,-4.150,-31.006
0.651,0.223,-0.898,-77.393,4.578,-27.039
0.661,0.296,-0.985,-74.585,14.709,-26.367
0.663,0.345,-1.190,-54.199,22.400,-29.236
0.705,0.412,-1.387,-19.714,21.118,-33.264
0.713,0.428,-1.359,3.296,7.751,-39.368
0.668,0.413,-1.226,14.221,-4.028,-46.753
0.622,0.320,-1.130,15.808,-6.958,-53.528
0.575,0.252,-1.070,8.362,-6.287,-56.824
0.530,0.206,-1.038,0.427,-5.493,-57.129
0.489,0.168,-1.015,1.526,-6.775,-57.190
0.434,0.126,-0.935,4.761,-11.658,-57.190
0.381,0.084,-0.834,8.179,-16.846,-57.373
0.326,0.050,-0.709,13.428,-21.179,-57.068
0.279,0.008,-0.589,13.855,-22.827,-56.702
0.238,-0.014,-0.513,6.897,-20.874,-55.542
0.204,-0.032,-0.488,-8.911,-16.296,-54.749
0.183,-0.037,-0.468,-24.353,-12.207,-53.894
0.154,-0.055,-0.427,-21.545,-10.681,-54.443
0.148,-0.063,-0.378,-10.132,-9.155,-54.932
0.141,-0.074,-0.325,-2.258,-6.409,-55.847
0.111,-0.164,-0.339,7.324,-2.014,-57.068
0.078,-0.249,-0.388,17.212,3.296,-54.504
0.127,-0.297,-0.394,8.057,5.554,-46.143
0.200,-0.331,-0.358,3.418,3.479,-36.621
0.173,-0.378,-0.308,11.475,3.662,-27.588
0.167,-0.496,-0.339,19.714,6.104,-17.700
0.171,-0.528,-0.259,8.484,6.165,-2.014
0.216,-0.395,-0.131,1.831,7.141,19.958
0.255,-0.199,-0.056,7.019,15.930,37.903
0.294,-0.059,-0.069,13.672,31.433,47.546
0.330,0.065,-0.126,9.827,48.523,52.429
0.365,0.195,-0.221,7.629,64.758,54.016
0.384,0.290,-0.327,15.686,77.637,51.758
0.428,0.430,-0.364,20.752,85.815,47.302
0.476,0.647,-0.416,16.174,97.595,42.053
0.525,0.798,-0.643,19.287,116.516,30.640
0.548,0.776,-0.901,34.302,129.883,10.315
0.547,0.620,-1.086,54.077,131.592,-10.498
0.540,0.405,-1.196,76.538,122.864,-26.672
0.535,0.247,-1.158,88.013,106.873,-32.104
0.540,0.194,-1.051,83.313,91.797,-26.855
0.558,0.155,-1.036,82.642,84.717,-17.944
0.571,0.116,-1.121,83.679,81.116,-9.644
0.581,0.073,-1.110,86.243,71.411,-3.052
0.586,0.041,-1.076,78.979,62.683,1.221
0.618,0.120,-1.018,66.956,56.519,7.996
0.637,0.171,-1.004,52.063,55.969,10.864
0.658,0.190,-1.007,44.373,57.251,8.667
0.660,0.131,-1.050,42.786,58.228,3.784
0.660,0.109,-1.083,40.649,56.824,0.732
0.665,0.071,-1.115,40.466,53.284,0.732
0.665,0.066,-1.123,45.898,46.509,1.953
0.674,0.111,-1.116,49.316,38.147,4.822
0.695,0.218,-1.122,51.147,31.311,7.690
0.726,0.323,-1.174,50.171,27.527,7.446
0.744,0.396,-1.265,49.011,25.452,2.930
0.783,0.382,-1.413,44.739,23.254,-3.601
0.834,0.207,-1.531,21.790,20.203,-9.705
0.765,0.324,-1.679,-25.513,13.672,-4.883
0.732,0.354,-1.463,-64.331,-7.202,-8.179
0.716,0.372,-1.293,-58.960,-19.531,-21.301
0.704,0.488,-1.280,-40.222,-13.672,-28.198
0.691,0.552,-1.416,-27.405,-4.883,-34.973
0.711,0.571,-1.401,-29.358,-5.249,-42.175
0.678,0.553,-1.494,-30.762,-4.028,-48.584
0.649,0.510,-1.598,-20.325,-5.737,-55.481
0.607,0.472,-1.648,-12.329,-13.550,-59.753
0.543,0.392,-1.661,-4.211,-24.231,-62.622
0.488,0.330,-1.576,7.568,-36.621,-63.293
0.440,0.315,-1.449,16.846,-47.607,-60.425
0.408,0.342,-1.322,17.395,-53.711,-56.458
0.393,0.386,-1.236,8.789,-54.321,-52.734
0.376,0.381,-1.198,-0.305,-51.514,-51.636
0.363,0.328,-1.164,-7.568,-49.683,-52.734
0.339,0.295,-1.070,-15.381,-52.002,-51.941
0.326,0.268,-0.945,-23.254,-53.589,-50.232
0.311,0.269,-0.819,-31.982,-51.636,-47.668
0.322,0.321,-0.762,-38.086,-44.800,-43.152
0.339,0.384,-0.783,-39.978,-35.034,-39.551
0.341,0.379,-0.799,-40.833,-27.710,-39.795
0.331,0.366,-0.771,-42.297,-24.231,-41.321
0.339,0.353,-0.759,-44.678,-20.081,-40.955
0.340,0.328,-0.809,-44.678,-14.709,-39.490
0.345,0.316,-0.898,-40.222,-12.512,-37.964
0.338,0.295,-0.948,-34.790,-16.418,-36.499
0.316,0.236,-0.932,-31.677,-24.963,-36.560
0.286,0.147,-0.877,-29.846,-34.912,-35.645
0.243,0.034,-0.804,-25.757,-44.983,-32.104
0.191,-0.040,-0.689,-23.071,-55.237,-24.048
0.137,-0.072,-0.536,-23.865,-64.697,-12.268
0.102,-0.071,-0.375,-29.236,-69.458,0.671
0.081,-0.057,-0.265,-41.565,-66.528,14.771
0.062,-0.047,-0.155,-57.007,-60.303,26.855
0.029,-0.073,-0.059,-65.674,-52.856,34.912
0.041,-0.092,0.032,-76.965,-43.823,43.091
0.041,-0.061,0.066,-90.942,-34.424,50.415
0.067,-0.081,0.083,-96.191,-28.442,48.950
0.010,-0.118,0.093,-81.482,-23.621,40.283
0.016,-0.205,0.130,-70.190,-15.381,33.020
0.003,-0.170,0.083,-72.632,-4.395,37.476
-0.032,-0.200,0.094,-73.853,-0.977,43.884
-0.091,-0.263,0.188,-63.843,-3.906,53.467
-0.177,-0.260,0.299,-49.683,-5.981,70.007
-0.274,-0.168,0.391,-53.589,-4.272,90.637
-0.317,-0.026,0.471,-105.286,4.944,111.938
-0.317,0.172,0.530,-158.325,17.151,129.272
-0.331,0.346,0.467,-170.654,26.611,139.038
-0.311,0.532,0.225,-171.631,38.452,140.625
-0.064,0.814,0.075,-135.925,58.350,130.615
0.222,0.784,-0.583,-61.890,112.305,85.632
0.384,0.515,-1.494,-2.319,159.546,25.635
0.507,0.167,-1.925,-12.878,163.086,-19.409
0.709,-0.370,-1.783,-13.550,147.400,-39.063
0.814,-0.472,-1.983,-11.108,154.724,-14.954
0.922,-0.503,-2.231,17.151,153.809,14.038
0.947,-0.668,-2.260,57.190,127.747,35.645
0.911,-0.647,-2.066,71.533,92.041,67.505
0.864,-0.456,-1.773,76.782,59.021,101.196
0.814,-0.177,-1.543,82.886,35.889,122.986
0.745,0.052,-1.328,83.618,19.897,129.761
0.658,0.145,-1.147,80.566,8.240,122.131
0.572,0.186,-0.993,72.876,-0.122,108.093
0.473,0.219,-0.820,61.523,-6.165,91.858
0.374,0.159,-0.674,47.668,-8.362,71.289
0.300,0.114,-0.558,37.048,-6.470,54.016
0.234,0.030,-0.532,54.810,-2.625,39.612
0.180,-0.043,-0.605,90.759,1.892,29.846
0.138,-0.080,-0.788,114.014,3.906,28.564
0.128,-0.028,-0.947,102.783,-2.502,36.011
0.086,0.047,-0.983,73.364,-19.592,45.715
0.051,0.172,-0.934,48.340,-38.879,53.955
0.019,0.272,-0.886,40.649,-51.941,56.763
-0.003,0.293,-0.798,38.574,-60.486,54.016
-0.026,0.237,-0.722,36.804,-62.805,49.805
-0.052,0.137,-0.694,41.443,-59.937,47.607
-0.080,0.038,-0.747,45.898,-54.626,50.476
-0.073,0.008,-0.738,20.874,-51.575,62.744
-0.024,0.044,-0.679,-31.799,-48.950,82.947
0.024,0.138,-0.692,-90.210,-40.588,105.835
0.115,0.179,-0.693,-128.174,-31.982,124.878
0.191,0.158,-0.680,-141.357,-25.879,136.841
0.249,0.138,-0.618,-142.883,-22.400,141.846
0.308,0.172,-0.461,-147.705,-22.827,141.479
0.352,0.208,-0.280,-162.231,-22.095,134.338
0.373,0.255,-0.185,-179.749,-13.794,122.375
0.403,0.328,-0.227,-190.552,-1.587,107.361
0.466,0.464,-0.445,-190.369,9.399,89.661
0.585,0.561,-0.819,-189.392,15.076,69.336
0.707,0.501,-1.199,-182.190,7.568,41.687
0.765,0.306,-1.264,-166.077,-19.653,13.428
0.732,0.042,-1.038,-156.494,-53.223,-3.357
0.617,-0.302,-0.670,-148.315,-75.562,-4.456
0.545,-0.309,-0.284,-153.076,-82.764,23.071
0.490,-0.118,0.029,-170.471,-81.543,60.608
0.427,0.112,0.277,-203.125,-73.730,81.970
0.358,0.284,0.522,-231.812,-56.580,82.764
0.309,0.336,0.674,-241.028,-28.442,66.406
0.272,0.238,0.687,-227.600,6.653,39.185
0.211,0.010,0.528,-194.275,41.809,9.155
0.203,-0.009,0.080,-175.171,74.585,-9.888
0.270,0.111,-0.541,-166.565,95.337,-18.250
0.330,0.160,-1.115,-134.216,90.637,-30.945
0.297,0.189,-1.200,-111.633,56.458,-39.917
0.072,-0.051,-0.536,-96.252,0.549,-52.307
-0.084,-0.149,0.016,-104.431,-33.203,-53.467
-0.125,-0.171,0.324,-199.219,-39.795,-38.452
0.061,-0.056,0.607,-303.284,-38.086,-18.188
