aX,aY,aZ,gX,gY,gZ
0.206,1.589,0.772,73.303,90.942,155.090
0.196,1.005,0.614,56.335,110.352,95.398
0.206,0.555,0.520,50.232,117.371,71.411
0.205,0.595,0.576,60.913,110.168,86.548
0.196,0.900,0.646,73.914,103.088,110.291
0.233,1.121,0.672,69.275,101.074,118.408
0.193,1.141,0.696,40.100,101.868,109.863
0.171,1.073,0.694,17.395,103.088,98.572
0.178,1.058,0.661,0.732,103.210,92.712
0.157,1.150,0.610,-12.756,101.746,90.393
0.157,1.231,0.579,-26.794,99.182,84.290
0.162,1.247,0.549,-38.086,96.985,73.730
0.155,1.241,0.533,-43.823,96.069,63.965
0.156,1.229,0.547,-45.288,94.604,56.335
0.149,1.223,0.568,-47.424,93.872,50.110
0.160,1.247,0.581,-47.363,93.445,45.288
0.167,1.268,0.550,-47.791,93.506,39.124
0.203,1.270,0.503,-51.636,92.102,31.311
0.191,1.256,0.492,-63.843,88.135,22.522
0.205,1.164,0.468,-73.669,84.167,13.916
0.208,1.121,0.436,-75.500,82.153,12.390
0.229,1.126,0.352,-71.289,82.764,15.991
0.271,1.128,0.261,-63.660,81.909,20.630
0.252,1.115,0.183,-55.115,77.393,25.818
0.253,1.086,0.127,-49.866,71.350,30.334
0.243,1.069,0.062,-45.715,64.697,34.363
0.196,1.052,0.020,-44.678,56.274,36.377
0.150,0.975,-0.012,-40.405,46.753,35.583
0.127,0.880,0.005,-39.856,36.499,34.546
0.118,0.810,0.101,-40.527,26.672,36.072
0.092,0.781,0.216,-40.527,20.569,40.039
0.068,0.780,0.315,-38.208,20.386,44.128
0.069,0.797,0.376,-29.846,24.780,47.119
0.049,0.809,0.393,-17.639,30.884,48.096
0.041,0.825,0.368,-8.423,37.109,47.607
0.031,0.850,0.332,-2.991,41.077,45.898
0.025,0.870,0.296,-3.052,41.199,41.992
0.032,0.878,0.268,-6.775,38.391,35.583
0.012,0.888,0.234,-12.634,34.241,28.076
-0.004,0.895,0.212,-19.531,29.053,19.348
-0.013,0.881,0.177,-25.208,23.926,9.399
-0.022,0.843,0.130,-27.710,19.287,-0.427
-0.022,0.781,0.082,-29.541,13.550,-7.812
-0.016,0.708,0.048,-32.288,6.531,-13.123
-0.014,0.666,0.054,-35.034,-1.404,-13.855
-0.008,0.634,0.087,-33.936,-8.484,-11.597
-0.008,0.605,0.125,-30.884,-11.536,-8.484
0.016,0.589,0.158,-25.146,-11.353,-4.211
0.030,0.616,0.178,-16.785,-7.629,0.732
0.034,0.645,0.182,-9.216,-3.662,5.737
0.045,0.660,0.178,-2.869,0.305,8.057
0.069,0.640,0.183,0.427,3.601,8.179
0.065,0.590,0.198,1.709,7.385,7.751
0.058,0.544,0.232,3.174,11.292,9.033
0.057,0.537,0.287,5.920,15.991,13.306
0.073,0.570,0.333,11.719,23.193,19.287
0.071,0.630,0.351,18.738,33.630,24.414
0.097,0.703,0.361,22.217,45.471,27.161
0.116,0.771,0.356,20.935,57.007,27.588
0.131,0.826,0.341,16.357,66.101,26.184
0.148,0.852,0.320,8.423,71.289,22.766
0.145,0.852,0.294,-0.366,72.510,18.921
0.133,0.842,0.298,-10.742,70.374,16.846
0.113,0.861,0.313,-20.630,67.444,17.822
0.087,0.939,0.309,-26.794,66.284,21.301
0.063,1.061,0.261,-30.640,67.383,23.987
0.062,1.212,0.157,-34.302,68.726,23.865
0.071,1.354,0.020,-38.574,67.200,19.226
0.095,1.431,-0.113,-42.786,59.753,8.545
0.117,1.429,-0.200,-46.997,44.739,-5.615
0.165,1.361,-0.204,-53.162,23.865,-20.630
0.204,1.240,-0.131,-58.044,1.953,-32.776
0.242,1.104,0.001,-62.439,-15.564,-38.696
0.263,1.011,0.139,-62.927,-24.414,-36.865
0.251,0.971,0.199,-55.298,-22.644,-28.931
0.261,0.999,0.227,-46.753,-16.418,-18.127
0.273,1.053,0.222,-41.504,-8.118,-8.728
0.293,1.092,0.201,-39.429,0.671,-2.930
0.316,1.096,0.177,-40.955,9.399,0.488
0.317,1.070,0.151,-43.091,16.724,2.869
0.335,1.020,0.109,-45.166,21.301,5.249
0.341,0.973,0.060,-45.105,22.217,8.179
0.346,0.937,0.019,-43.640,18.860,12.634
0.349,0.919,0.001,-41.443,12.085,17.700
0.337,0.916,0.012,-39.856,3.906,22.583
