aX,aY,aZ,gX,gY,gZ
0.486,0.614,0.788,9.033,-4.822,39.185
0.500,0.693,0.752,8.423,-4.517,34.302
0.517,0.662,0.821,4.150,-8.362,25.757
0.538,0.653,0.841,-6.531,-9.827,18.982
0.577,0.647,0.826,-10.620,-9.155,15.381
0.627,0.606,0.852,-10.437,-9.827,13.062
0.669,0.561,0.853,-9.949,-8.972,12.878
0.717,0.559,0.875,-8.057,-7.507,16.479
0.761,0.596,0.955,-3.540,-6.958,22.156
0.797,0.644,1.028,-2.380,-4.517,26.611
0.828,0.679,1.034,-5.310,0.122,28.870
0.851,0.729,0.999,-7.385,4.822,29.968
0.870,0.773,0.977,-9.399,6.836,29.297
0.865,0.791,0.922,-14.648,7.935,26.306
0.847,0.821,0.866,-19.287,7.812,21.851
0.846,0.824,0.816,-18.127,7.202,15.503
0.836,0.794,0.763,-12.085,5.249,7.202
0.817,0.791,0.745,-3.601,1.099,-0.610
0.809,0.750,0.731,3.540,-2.686,-7.690
0.812,0.679,0.703,9.521,-4.333,-14.954
0.817,0.644,0.739,15.625,-7.629,-18.799
0.802,0.630,0.807,17.883,-10.864,-20.142
0.773,0.610,0.836,15.808,-10.376,-21.057
0.731,0.591,0.807,10.925,-7.996,-21.667
0.687,0.574,0.782,5.920,-7.263,-22.156
0.646,0.562,0.791,-0.244,-8.484,-22.705
0.602,0.550,0.784,-8.728,-9.033,-23.071
0.571,0.543,0.723,-15.930,-7.935,-23.987
0.525,0.561,0.626,-20.813,-7.996,-25.574
0.492,0.552,0.594,-20.203,-11.169,-28.320
0.469,0.494,0.614,-20.508,-15.503,-32.410
0.448,0.425,0.594,-22.888,-17.334,-35.339
0.427,0.370,0.548,-23.560,-18.372,-36.499
0.430,0.355,0.542,-20.996,-21.118,-35.889
0.432,0.342,0.586,-19.226,-24.597,-35.217
0.432,0.299,0.571,-19.897,-24.414,-35.400
0.426,0.268,0.516,-20.325,-21.362,-34.363
0.409,0.226,0.478,-19.470,-20.203,-32.776
0.396,0.202,0.453,-17.273,-20.264,-29.968
0.392,0.179,0.433,-14.587,-20.874,-27.161
0.398,0.154,0.436,-11.108,-22.644,-24.780
0.393,0.170,0.466,-8.667,-24.048,-20.935
0.407,0.219,0.468,1.221,-23.376,-16.663
0.420,0.275,0.475,5.432,-22.339,-13.855
0.414,0.289,0.492,2.319,-21.729,-14.160
0.407,0.255,0.493,2.075,-20.203,-15.686
0.404,0.255,0.508,3.357,-19.104,-14.709
0.402,0.268,0.527,3.723,-17.944,-12.634
0.408,0.300,0.498,7.202,-15.320,-10.803
0.415,0.321,0.499,10.376,-14.465,-9.460
0.424,0.316,0.544,11.475,-14.954,-9.216
0.426,0.328,0.563,9.338,-12.207,-7.996
0.434,0.374,0.560,8.728,-8.789,-6.287
0.432,0.427,0.547,10.559,-6.531,-6.531
0.433,0.458,0.553,10.498,-5.493,-9.521
0.426,0.434,0.593,4.333,-5.188,-14.587
0.425,0.435,0.575,-0.366,-3.418,-18.860
0.435,0.468,0.599,-2.808,-2.380,-22.095
0.441,0.461,0.635,-5.798,-1.221,-27.039
0.443,0.433,0.641,-10.254,2.380,-31.738
0.451,0.410,0.575,-15.320,7.263,-34.485
0.453,0.357,0.549,-18.799,7.751,-36.194
0.447,0.310,0.552,-19.531,4.395,-36.133
0.450,0.293,0.556,-16.846,1.099,-33.508
0.467,0.275,0.578,-15.137,-2.808,-29.846
0.474,0.239,0.605,-17.212,-6.104,-25.818
0.481,0.255,0.570,-17.090,-8.240,-19.958
0.501,0.317,0.556,-13.489,-12.085,-13.733
0.522,0.376,0.607,-11.841,-18.738,-10.254
0.539,0.425,0.687,-15.564,-24.170,-9.338
0.558,0.440,0.766,-22.949,-26.917,-9.705
0.558,0.399,0.828,-31.067,-28.076,-11.108
0.598,0.365,0.872,-38.879,-28.259,-10.254
0.610,0.370,0.851,-43.823,-28.931,-6.165
0.620,0.375,0.838,-48.584,-33.569,-2.747
0.639,0.430,0.858,-48.889,-40.894,2.380
0.654,0.547,0.901,-48.706,-47.729,9.155
0.642,0.697,0.922,-51.941,-50.415,13.428
0.652,0.799,0.902,-55.664,-48.889,12.939
0.680,0.847,0.888,-55.542,-47.119,8.545
0.696,0.881,0.859,-48.950,-45.898,3.906
0.721,0.886,0.870,-37.537,-46.509,-0.549
0.724,0.887,0.905,-27.588,-46.814,-3.967
0.718,0.883,0.919,-18.250,-43.823,-7.263
0.698,0.888,0.895,-10.681,-38.269,-10.559
0.665,0.887,0.869,-4.944,-33.081,-14.893
0.628,0.841,0.864,-1.709,-29.724,-21.729
0.595,0.772,0.847,-0.427,-27.100,-29.480
0.581,0.731,0.824,2.319,-24.719,-35.339
0.582,0.719,0.843,6.287,-23.926,-39.429
0.587,0.710,0.894,7.812,-22.827,-42.786
0.619,0.720,0.933,5.432,-18.921,-45.105
0.618,0.765,0.867,0.427,-11.841,-46.204
0.619,0.757,0.841,-5.005,-8.667,-49.622
0.623,0.754,0.811,-8.423,-7.751,-52.368
0.616,0.772,0.740,-10.681,-6.531,-54.260
0.595,0.758,0.695,-13.733,-7.568,-57.068
0.562,0.744,0.651,-18.616,-10.437,-59.753
0.528,0.747,0.593,-23.071,-13.000,-62.134
0.501,0.710,0.580,-28.076,-17.334,-65.857
0.478,0.681,0.589,-31.738,-22.583,-69.153
0.466,0.672,0.617,-32.837,-27.771,-71.167
0.442,0.656,0.647,-35.278,-31.738,-73.792
0.419,0.615,0.646,-42.236,-33.325,-76.477
0.391,0.557,0.606,-49.927,-33.508,-78.674
0.366,0.501,0.585,-54.810,-35.156,-79.102
0.355,0.471,0.569,-56.274,-37.292,-77.515
0.337,0.469,0.556,-55.237,-39.307,-75.134
0.326,0.472,0.555,-54.016,-41.321,-73.425
0.306,0.467,0.566,-54.565,-42.603,-73.303
0.312,0.443,0.534,-55.359,-42.542,-74.280
0.293,0.396,0.522,-55.176,-43.518,-75.195
0.315,0.332,0.575,-57.495,-44.983,-74.463
0.327,0.329,0.543,-53.833,-43.030,-70.740
0.334,0.307,0.510,-52.246,-41.077,-67.688
0.330,0.291,0.471,-49.255,-40.039,-64.392
0.337,0.298,0.438,-40.588,-40.161,-60.303
0.335,0.324,0.448,-30.334,-41.687,-56.641
0.328,0.334,0.500,-22.949,-43.091,-54.382
0.322,0.281,0.543,-20.264,-42.297,-53.406
0.312,0.226,0.554,-16.418,-38.940,-51.453
0.287,0.217,0.586,-12.634,-36.011,-46.509
0.303,0.212,0.604,-9.277,-31.738,-41.138
0.290,0.268,0.585,-7.019,-26.062,-35.217
0.278,0.271,0.633,-7.935,-23.376,-32.715
0.282,0.249,0.640,-11.719,-20.203,-31.921
0.264,0.256,0.588,-19.043,-16.174,-30.273
0.270,0.302,0.484,-18.860,-14.526,-29.297
0.265,0.338,0.496,-20.447,-21.179,-30.029
0.284,0.347,0.541,-19.836,-28.992,-33.691
0.309,0.397,0.622,-17.456,-34.668,-36.316
0.349,0.453,0.673,-18.555,-34.912,-38.940
0.382,0.491,0.678,-25.635,-30.212,-42.725
0.422,0.557,0.657,-33.142,-24.414,-45.715
0.436,0.571,0.682,-43.030,-21.362,-49.866
0.471,0.535,0.686,-53.345,-19.226,-54.138
0.486,0.507,0.657,-60.791,-18.188,-54.688
0.505,0.517,0.590,-62.683,-19.958,-52.490
0.573,0.568,0.526,-56.396,-26.001,-47.852
0.600,0.595,0.521,-50.354,-37.109,-44.556
0.615,0.590,0.554,-48.584,-49.866,-42.358
0.624,0.609,0.567,-47.241,-59.937,-39.246
0.620,0.667,0.595,-48.645,-67.810,-36.377
0.565,0.730,0.578,-56.274,-74.341,-36.865
0.541,0.615,0.702,-65.430,-78.979,-42.969
0.516,0.578,0.555,-60.181,-75.317,-46.143
0.544,0.499,0.478,-50.720,-77.759,-49.561
0.586,0.276,0.716,-52.917,-92.346,-55.237
0.638,0.222,0.874,-54.688,-95.398,-48.035
0.723,0.369,0.861,-50.659,-85.571,-31.982
0.797,0.540,0.808,-47.546,-76.355,-19.836
0.870,0.717,0.845,-43.884,-72.388,-13.977
0.936,0.948,0.873,-42.053,-68.115,-12.695
0.957,1.154,0.750,-48.218,-58.105,-17.761
0.936,1.215,0.583,-57.861,-50.354,-31.372
0.919,1.214,0.438,-63.293,-49.805,-48.889
0.876,1.155,0.394,-61.157,-55.725,-67.139
0.846,1.083,0.410,-52.185,-63.477,-84.412
0.840,1.044,0.430,-40.649,-69.214,-98.145
0.833,1.003,0.477,-31.128,-73.364,-109.802
0.819,0.933,0.560,-25.635,-76.172,-119.629
0.799,0.864,0.630,-22.156,-76.294,-125.916
0.773,0.804,0.668,-22.278,-74.463,-128.967
0.749,0.776,0.685,-24.597,-72.754,-130.005
0.722,0.737,0.718,-30.029,-73.608,-131.042
0.698,0.698,0.760,-37.354,-75.378,-131.531
0.679,0.684,0.789,-43.884,-76.721,-130.859
0.659,0.681,0.804,-52.185,-78.064,-130.615
0.625,0.672,0.734,-62.988,-78.369,-131.958
0.604,0.683,0.594,-69.946,-78.552,-134.094
0.588,0.715,0.472,-67.932,-83.008,-136.536
0.591,0.740,0.459,-57.922,-92.224,-140.076
0.596,0.711,0.499,-48.889,-100.281,-144.714
0.584,0.629,0.552,-46.631,-103.333,-148.743
0.534,0.546,0.561,-48.706,-100.708,-149.353
0.508,0.475,0.508,-48.401,-94.238,-147.156
0.493,0.464,0.454,-45.105,-88.867,-142.517
0.466,0.482,0.411,-42.786,-86.243,-138.733
0.431,0.458,0.410,-41.748,-86.426,-138.550
0.415,0.399,0.439,-41.321,-87.708,-140.442
0.406,0.364,0.460,-39.063,-88.257,-140.930
0.418,0.343,0.476,-36.011,-88.623,-140.869
0.425,0.353,0.465,-32.227,-88.806,-140.442
0.429,0.353,0.491,-28.992,-90.027,-140.564
0.428,0.343,0.506,-29.297,-90.393,-140.808
0.429,0.335,0.509,-31.921,-89.111,-140.381
0.429,0.322,0.500,-37.903,-88.867,-139.465
0.409,0.296,0.556,-45.837,-89.600,-138.123
0.397,0.270,0.593,-50.415,-87.769,-135.986
0.373,0.260,0.544,-54.688,-81.604,-132.507
0.361,0.244,0.473,-53.833,-76.782,-128.967
0.348,0.213,0.410,-50.842,-75.745,-125.793
0.354,0.245,0.356,-45.654,-77.515,-121.582
0.361,0.310,0.350,-36.072,-82.458,-117.981
0.360,0.323,0.410,-27.527,-90.454,-118.042
0.392,0.297,0.493,-23.315,-96.741,-119.141
0.432,0.287,0.577,-15.137,-100.525,-117.188
0.474,0.294,0.696,-6.653,-103.210,-113.892
0.517,0.326,0.801,3.601,-103.088,-110.352
0.531,0.361,0.873,12.085,-98.999,-106.689
0.532,0.317,0.920,7.812,-91.858,-105.713
0.520,0.238,0.881,-5.615,-80.994,-104.553
0.502,0.181,0.823,-19.165,-71.533,-99.976
0.470,0.197,0.771,-28.931,-66.895,-92.468
0.448,0.238,0.783,-38.086,-65.796,-86.243
0.432,0.242,0.815,-48.828,-65.002,-84.473
0.442,0.215,0.813,-59.326,-61.523,-84.839
0.454,0.207,0.803,-66.895,-58.594,-83.740
0.487,0.225,0.806,-68.970,-57.617,-82.092
0.487,0.236,0.824,-70.251,-57.068,-81.543
0.489,0.241,0.814,-71.777,-55.542,-82.214
0.499,0.240,0.810,-72.266,-53.772,-82.886
0.500,0.266,0.755,-73.059,-52.307,-83.618
0.521,0.196,0.838,-74.951,-54.077,-86.365
0.528,0.184,0.871,-74.707,-53.345,-86.487
0.562,0.195,0.872,-74.402,-48.157,-82.275
0.575,0.193,0.887,-73.303,-46.143,-78.369
0.573,0.204,0.913,-70.496,-45.654,-73.547
0.575,0.243,0.924,-63.416,-45.349,-66.895
0.562,0.278,0.936,-55.420,-46.326,-61.401
0.531,0.378,0.920,-46.753,-46.936,-56.091
0.514,0.524,0.873,-35.522,-47.607,-53.528
0.485,0.588,0.894,-31.738,-51.147,-57.861
0.417,0.537,0.949,-39.795,-55.359,-66.956
0.366,0.445,0.979,-51.331,-55.664,-74.341
0.329,0.407,0.951,-58.289,-52.795,-76.294
0.305,0.448,0.915,-59.509,-50.842,-74.829
0.293,0.507,0.898,-56.396,-51.636,-74.524
0.298,0.537,0.944,-49.561,-54.626,-76.111
0.302,0.520,1.026,-44.067,-57.129,-78.369
