aX,aY,aZ,gX,gY,gZ
0.612,0.549,0.618,13.550,-10.254,-12.817
0.590,0.551,0.582,8.728,-7.507,-11.719
0.607,0.543,0.548,4.822,-6.165,-11.353
0.592,0.506,0.517,1.831,-6.042,-12.024
0.592,0.493,0.514,-0.793,-6.226,-9.216
0.601,0.586,0.475,-1.343,-5.066,-3.967
0.590,0.618,0.439,-1.770,-4.883,-2.502
0.573,0.553,0.419,-4.028,-7.446,-3.784
0.532,0.487,0.439,-9.399,-12.268,-4.517
0.502,0.485,0.396,-10.620,-15.808,-3.052
0.478,0.493,0.384,-9.705,-21.362,-2.563
0.476,0.469,0.402,-7.751,-27.954,-3.723
0.458,0.436,0.410,-5.493,-32.471,-4.883
0.443,0.422,0.418,-4.272,-35.767,-5.310
0.435,0.403,0.431,-2.441,-36.804,-5.249
0.424,0.390,0.437,-1.099,-36.072,-4.211
0.403,0.371,0.429,0.427,-33.630,-2.258
0.377,0.331,0.421,-1.221,-31.616,-0.488
0.347,0.267,0.448,-5.371,-30.334,1.404
0.282,0.249,0.453,-8.850,-27.893,4.395
0.257,0.232,0.396,-10.986,-23.865,6.165
0.199,0.214,0.322,-15.686,-21.423,5.859
0.173,0.225,0.219,-20.386,-21.118,5.005
0.185,0.250,0.182,-20.264,-26.001,2.869
0.176,0.267,0.230,-16.235,-34.912,-0.854
0.173,0.292,0.266,-10.864,-41.809,-3.784
0.203,0.275,0.329,-5.310,-45.654,-6.653
0.138,0.304,0.378,1.953,-47.424,-8.179
0.155,0.301,0.451,6.775,-46.997,-9.827
-0.061,0.330,0.457,13.977,-41.504,-11.902
0.250,0.346,0.426,23.254,-36.255,-18.799
0.118,0.233,0.418,24.231,-31.799,-23.987
0.159,0.254,0.424,21.790,-27.344,-18.921
0.165,0.272,0.399,27.039,-22.217,-13.489
0.227,0.373,0.411,24.353,-19.592,-7.080
0.168,0.409,0.495,25.269,-19.958,-4.333
0.242,0.380,0.650,25.696,-18.127,-4.517
0.317,0.382,0.774,30.212,-9.583,-0.916
0.357,0.528,0.927,29.846,2.869,4.456
0.368,0.364,0.809,37.659,22.339,6.592
0.355,0.435,0.762,48.340,38.696,16.541
0.327,0.591,0.706,47.119,51.636,28.503
0.327,0.656,0.563,40.100,63.904,32.593
0.305,0.637,0.354,50.659,67.749,30.945
0.327,0.770,0.345,47.424,56.274,34.668
0.316,0.786,0.452,43.091,40.894,32.532
0.321,0.776,0.543,35.217,31.677,29.053
0.328,0.784,0.572,29.236,28.503,27.222
0.339,0.785,0.583,25.452,26.123,24.963
0.348,0.778,0.608,21.545,22.400,21.729
0.375,0.735,0.691,17.456,17.944,16.846
0.377,0.692,0.782,14.954,15.808,13.123
0.392,0.675,0.807,12.817,19.714,12.085
0.393,0.624,0.776,11.047,25.635,10.620
0.409,0.589,0.750,8.667,30.029,10.681
0.415,0.570,0.728,7.446,31.799,12.634
0.428,0.562,0.696,5.676,32.104,14.526
0.438,0.572,0.681,2.808,30.701,15.686
0.485,0.700,0.760,-9.644,28.870,13.672
0.470,0.367,0.510,-3.601,29.297,6.287
0.484,0.431,0.568,2.930,18.921,15.137
0.512,0.532,0.708,4.761,8.179,23.926
0.541,0.538,0.799,5.615,7.019,23.621
0.577,0.524,0.821,6.226,12.817,21.973
0.602,0.530,0.817,8.057,21.118,23.560
0.639,0.544,0.811,9.949,28.015,26.306
0.631,0.587,0.751,13.245,33.997,29.114
0.640,0.557,0.704,14.404,35.950,28.259
0.648,0.537,0.713,12.390,32.837,26.489
0.646,0.642,0.695,9.644,29.175,26.367
0.729,0.564,0.813,-10.620,28.625,19.897
0.715,0.448,0.656,3.052,32.227,11.841
0.798,0.427,0.747,-6.592,27.405,19.592
0.823,0.471,0.768,5.676,25.513,23.254
0.865,0.620,0.825,4.517,24.658,30.457
0.921,0.653,0.797,2.136,28.809,27.344
0.953,0.524,0.708,8.850,33.752,20.508
0.961,0.482,0.664,13.489,33.020,21.851
0.956,0.537,0.623,16.296,30.029,27.527
0.941,0.578,0.557,17.273,26.794,27.954
0.908,0.538,0.485,15.747,21.423,22.461
0.868,0.449,0.438,12.329,12.573,15.747
0.818,0.383,0.433,9.094,1.770,12.329
0.792,0.358,0.444,6.042,-7.019,12.085
0.754,0.324,0.462,4.700,-14.038,12.085
0.707,0.303,0.480,5.188,-18.860,13.306
0.680,0.357,0.523,1.160,-21.240,16.968
0.662,0.398,0.530,-4.578,-19.226,17.883
0.633,0.378,0.491,-1.526,-14.709,14.832
0.622,0.333,0.471,0.305,-11.475,11.780
0.579,0.316,0.430,16.479,-10.559,10.986
0.557,0.361,0.477,18.555,-13.245,12.451
0.523,0.318,0.481,22.095,-12.268,8.240
0.496,0.231,0.505,18.799,-11.047,3.174
0.465,0.151,0.499,15.442,-9.277,1.709
0.465,0.142,0.481,16.052,-6.653,5.371
0.434,0.149,0.426,23.987,-5.432,9.460
0.402,0.266,0.465,21.973,-6.775,14.465
0.412,0.290,0.494,10.010,-8.179,13.062
0.417,0.269,0.530,5.554,-5.615,8.301
0.416,0.284,0.582,0.977,-2.319,7.202
0.417,0.329,0.635,-1.099,4.272,8.057
0.414,0.356,0.630,-2.808,14.832,7.141
0.413,0.316,0.578,-9.399,26.123,4.089
0.399,0.277,0.562,-13.184,32.837,2.869
0.409,0.268,0.569,-5.737,37.415,5.981
0.433,0.332,0.589,0.244,41.626,10.864
0.449,0.404,0.593,7.202,45.776,14.160
0.477,0.421,0.601,10.925,49.377,12.817
0.489,0.414,0.591,11.597,51.147,10.864
0.505,0.432,0.571,10.132,51.453,11.047
0.518,0.480,0.566,8.240,49.255,12.390
0.515,0.528,0.559,4.028,45.288,12.817
0.503,0.504,0.507,-0.732,40.344,10.620
0.520,0.493,0.530,-5.981,32.776,8.301
0.503,0.542,0.535,-5.493,26.367,9.766
0.513,0.531,0.527,-7.874,21.362,7.812
0.519,0.481,0.566,-11.414,14.709,4.211
0.527,0.414,0.614,-16.907,9.888,3.357
0.487,0.411,0.692,-18.433,6.775,6.592
0.509,0.384,0.715,-20.447,7.812,9.521
0.521,0.360,0.712,-18.311,12.268,12.878
0.520,0.359,0.723,-19.104,15.015,17.822
0.522,0.366,0.732,-19.104,17.517,22.766
0.526,0.389,0.705,-20.203,21.362,27.222
0.538,0.426,0.658,-18.127,24.414,30.762
0.550,0.480,0.632,-16.174,24.475,33.203
0.570,0.543,0.617,-16.602,23.376,33.691
0.577,0.583,0.598,-18.616,22.339,31.860
0.577,0.584,0.596,-21.179,20.874,28.015
0.556,0.565,0.613,-24.109,18.372,24.292
0.553,0.531,0.626,-23.804,17.090,22.339
0.550,0.517,0.648,-19.897,16.357,22.705
0.550,0.538,0.674,-14.343,16.052,24.963
0.543,0.575,0.676,-11.108,17.090,26.672
0.546,0.606,0.659,-10.315,18.250,26.917
0.541,0.613,0.638,-11.169,18.494,25.574
0.540,0.612,0.625,-12.756,17.517,24.658
0.541,0.608,0.614,-13.489,15.808,24.414
0.534,0.635,0.601,-11.353,13.794,25.696
0.531,0.680,0.597,-7.690,12.146,26.611
0.531,0.577,0.664,-1.404,9.521,24.414
0.498,0.554,0.641,14.709,10.620,28.259
0.472,0.625,0.600,27.588,10.803,36.743
0.478,0.655,0.662,36.560,5.798,41.016
0.535,0.657,0.759,37.109,3.662,44.312
0.554,0.667,0.802,40.222,9.399,51.819
0.608,0.800,0.742,50.415,19.958,63.599
0.675,1.007,0.666,64.026,28.076,72.998
0.714,1.130,0.620,72.815,29.968,72.510
0.722,1.101,0.631,74.768,27.832,63.354
0.689,0.971,0.634,71.228,25.879,53.223
0.635,0.834,0.611,68.542,26.062,48.157
0.583,0.756,0.597,64.758,25.940,48.706
0.530,0.732,0.583,65.002,25.696,51.331
0.520,0.717,0.615,61.523,25.635,52.795
0.510,0.718,0.674,54.260,26.855,52.979
0.518,0.729,0.724,50.415,31.677,52.979
0.548,0.751,0.718,51.086,40.039,52.673
0.594,0.797,0.661,50.293,49.500,51.758
0.610,0.823,0.613,47.485,55.481,48.828
0.617,0.783,0.549,43.091,57.922,43.152
0.615,0.712,0.486,39.124,57.617,37.659
0.606,0.639,0.444,36.743,53.833,34.241
0.596,0.585,0.434,31.677,48.401,32.654
0.579,0.542,0.423,26.611,43.091,32.349
0.561,0.515,0.402,23.621,38.818,32.776
0.529,0.500,0.365,21.729,34.668,33.081
0.512,0.491,0.337,21.423,29.236,32.898
0.476,0.483,0.344,18.799,22.827,32.410
0.419,0.478,0.360,17.090,17.517,32.104
0.457,0.463,0.376,15.930,14.038,32.166
0.425,0.487,0.429,15.015,11.108,32.837
0.387,0.514,0.445,12.085,12.512,32.776
0.359,0.509,0.427,9.033,16.357,29.785
0.337,0.510,0.409,6.653,19.043,26.489
0.335,0.522,0.400,6.165,20.264,23.743
0.341,0.541,0.417,5.371,19.836,20.874
0.339,0.550,0.464,5.127,20.020,18.005
0.338,0.560,0.507,4.883,22.827,15.259
0.354,0.567,0.521,5.981,28.870,13.000
0.359,0.575,0.495,7.385,35.583,11.108
0.371,0.593,0.458,8.179,40.771,9.888
0.389,0.618,0.438,9.521,43.091,9.033
0.415,0.665,0.429,10.742,43.701,8.484
0.438,0.716,0.427,12.268,43.213,7.141
0.449,0.742,0.453,12.756,41.382,3.967
0.481,0.743,0.474,12.878,39.734,0.244
0.483,0.734,0.483,11.963,39.001,-1.892
0.500,0.718,0.478,9.827,38.269,-2.991
0.506,0.730,0.448,8.301,37.292,-2.686
0.513,0.738,0.411,5.188,34.668,-2.502
0.518,0.720,0.398,0.488,29.602,-3.174
0.505,0.676,0.419,-5.859,22.888,-4.395
0.496,0.626,0.445,-12.329,16.907,-5.005
0.492,0.600,0.466,-16.785,12.878,-4.089
0.489,0.599,0.486,-20.020,9.888,-3.113
0.485,0.601,0.485,-23.071,8.179,-2.625
0.487,0.595,0.471,-26.001,6.775,-2.869
0.485,0.578,0.457,-27.832,4.761,-3.296
0.480,0.572,0.460,-28.687,1.282,-3.662
0.478,0.590,0.463,-27.832,-1.526,-3.662
0.478,0.631,0.449,-26.184,-3.418,-3.784
0.476,0.665,0.436,-24.658,-5.066,-4.883
0.476,0.693,0.444,-25.513,-8.484,-7.385
0.476,0.705,0.457,-27.100,-11.353,-10.498
0.479,0.706,0.454,-28.320,-13.489,-13.611
0.493,0.711,0.435,-27.832,-15.564,-16.174
0.506,0.708,0.453,-26.306,-19.775,-18.005
0.512,0.683,0.513,-26.550,-24.658,-19.653
0.516,0.652,0.580,-28.564,-27.405,-20.264
0.509,0.635,0.630,-29.053,-26.917,-18.433
0.548,0.649,0.638,-26.917,-23.376,-14.709
0.584,0.688,0.638,-25.757,-19.714,-10.437
0.634,0.720,0.639,-25.208,-17.334,-7.446
0.693,0.755,0.604,-22.949,-14.282,-5.127
0.719,0.807,0.546,-22.461,-11.902,-3.418
0.749,0.810,0.495,-23.865,-12.451,-3.784
0.710,0.802,0.462,-29.419,-15.076,-3.662
0.687,0.751,0.475,-33.325,-19.897,-4.639
0.670,0.678,0.526,-38.757,-25.391,-5.432
0.671,0.613,0.624,-41.077,-29.175,-3.906
0.701,0.568,0.739,-41.687,-29.358,-1.038
0.750,0.563,0.814,-39.795,-23.315,4.395
0.819,0.597,0.819,-34.729,-11.719,10.864
0.859,0.644,0.786,-29.480,0.366,16.235
0.873,0.664,0.733,-21.545,9.705,18.494
0.857,0.644,0.731,-16.357,14.526,17.761
0.870,0.627,0.726,-7.324,18.555,16.541
0.919,0.689,0.622,-6.409,24.048,14.343
0.868,0.516,0.687,-16.174,24.414,7.812
0.869,0.432,0.553,0.366,30.029,9.460
0.865,0.578,0.406,21.667,30.884,18.677
0.821,0.702,0.361,27.649,21.912,19.165
0.841,0.647,0.384,19.775,10.559,7.080
0.839,0.562,0.396,11.475,3.601,-2.380
0.818,0.580,0.390,6.165,0.427,-3.784
0.821,0.623,0.355,4.944,-0.854,-4.883
0.797,0.625,0.345,2.869,-2.930,-8.484
0.776,0.614,0.337,1.648,-5.859,-13.489
0.769,0.591,0.356,2.808,-11.169,-18.921
0.744,0.593,0.391,8.545,-16.724,-22.583
0.712,0.586,0.413,14.282,-20.874,-27.405
0.668,0.519,0.440,15.625,-23.743,-33.691
0.620,0.451,0.441,13.550,-25.330,-38.574
0.593,0.418,0.435,6.042,-25.574,-40.344
0.567,0.413,0.409,0.977,-25.879,-40.649
0.556,0.451,0.377,-4.333,-26.733,-40.039
0.549,0.494,0.365,-9.216,-29.297,-40.955
0.540,0.536,0.358,-12.634,-32.410,-43.884
0.544,0.517,0.393,-16.418,-35.156,-48.950
0.537,0.531,0.395,-17.212,-36.377,-52.368
0.525,0.539,0.344,-15.320,-34.424,-54.810
0.540,0.542,0.256,-11.536,-33.813,-57.373
0.550,0.574,0.212,-8.728,-37.659,-58.533
0.510,0.572,0.239,10.376,-47.302,-60.120
0.523,0.462,0.327,8.667,-56.030,-66.956
0.522,0.343,0.396,2.502,-59.448,-69.336
0.501,0.301,0.524,-4.150,-62.378,-64.087
0.524,0.322,0.623,-13.367,-60.547,-55.847
0.548,0.422,0.621,-18.677,-51.086,-47.668
0.541,0.524,0.584,-31.006,-42.847,-43.701
0.528,0.522,0.541,-39.734,-38.025,-47.180
0.527,0.466,0.511,-46.448,-36.682,-52.856
0.511,0.401,0.508,-50.598,-37.537,-55.298
0.506,0.349,0.527,-48.645,-38.818,-53.650
0.520,0.353,0.556,-47.058,-38.635,-49.011
0.528,0.352,0.602,-45.227,-36.682,-43.396
0.579,0.313,0.630,-44.006,-32.410,-37.720
0.573,0.307,0.668,-43.335,-26.855,-31.067
0.586,0.344,0.610,-42.419,-18.677,-22.400
0.609,0.365,0.521,-37.964,-11.841,-16.663
0.578,0.365,0.464,-35.339,-10.681,-12.878
0.571,0.389,0.424,-31.494,-13.367,-9.460
0.557,0.441,0.441,-28.198,-18.555,-6.470
0.556,0.498,0.444,-21.851,-23.132,-6.653
0.561,0.498,0.456,-14.038,-27.649,-10.681
0.580,0.481,0.516,-13.977,-33.508,-15.320
0.587,0.446,0.599,-16.357,-37.048,-18.127
0.595,0.365,0.636,-16.113,-35.828,-19.653
0.587,0.296,0.646,-11.719,-31.677,-16.174
0.600,0.307,0.627,-7.568,-26.794,-7.996
0.614,0.348,0.602,-2.747,-22.644,0.000
0.606,0.364,0.608,-1.587,-20.142,5.493
0.616,0.405,0.611,-2.991,-17.090,10.132
0.688,0.543,0.623,-4.272,-13.000,15.808
0.767,0.756,0.716,-8.301,-9.033,20.935
0.828,0.943,0.833,-11.841,-2.441,21.423
0.881,1.053,0.798,-16.541,11.536,15.625
0.885,1.070,0.621,-15.869,26.306,4.883
0.857,0.999,0.425,-15.625,29.480,-7.568
0.806,0.923,0.266,-16.113,19.897,-17.639
0.756,0.832,0.169,-16.235,0.427,-26.001
0.673,0.725,0.221,-26.184,-25.085,-33.081
0.625,0.526,0.294,-30.334,-49.438,-37.659
0.590,0.394,0.387,-29.358,-66.223,-34.729
0.528,0.339,0.485,-22.644,-74.768,-24.536
0.530,0.349,0.584,-20.691,-77.209,-11.963
0.532,0.365,0.676,-22.705,-73.853,-2.686
0.544,0.397,0.744,-25.330,-64.514,4.822
0.572,0.450,0.749,-28.564,-50.537,10.986
0.598,0.493,0.724,-31.555,-34.790,14.465
0.656,0.426,0.672,-31.311,-21.973,14.893
0.610,0.370,0.667,-26.428,-13.306,18.311
0.657,0.524,0.535,-15.381,-3.479,29.358
0.653,0.704,0.458,-13.184,-1.160,31.250
