aX,aY,aZ,gX,gY,gZ
0.646,0.515,1.572,23.376,9.888,-20.386
0.613,0.381,1.510,6.897,32.471,-25.391
0.599,0.268,1.213,-18.860,61.707,-25.024
0.592,0.248,0.925,-36.926,78.125,-17.822
0.564,0.295,0.693,-48.096,80.444,-10.254
0.560,0.384,0.547,-53.223,75.378,-5.066
0.604,0.473,0.441,-51.086,67.139,-4.639
0.637,0.515,0.396,-45.227,55.969,-6.714
0.667,0.582,0.532,-32.776,41.016,-8.301
0.736,0.622,0.838,-18.616,29.297,-10.681
0.745,0.557,0.981,-11.963,30.579,-13.672
0.759,0.514,1.068,-9.888,38.513,-13.489
0.766,0.422,0.923,-16.296,50.842,-10.864
0.699,0.409,0.809,-22.217,58.411,-4.395
0.705,0.481,0.737,-23.560,59.509,4.272
0.695,0.529,0.559,-26.245,59.448,9.705
0.715,0.582,0.445,-21.729,51.392,12.268
0.677,0.629,0.481,-18.066,34.729,11.719
0.702,0.630,0.629,-18.372,18.250,8.606
0.732,0.591,0.801,-16.113,9.644,5.188
0.760,0.635,0.887,-11.108,11.169,5.554
0.817,0.674,0.894,-5.981,18.433,6.287
0.838,0.697,0.868,-4.883,27.344,6.348
0.842,0.685,0.874,-3.113,33.569,7.751
0.837,0.680,0.870,-2.136,40.283,10.620
0.848,0.709,0.878,0.793,46.875,14.160
0.883,0.714,0.836,-1.770,53.589,15.930
0.909,0.709,0.787,-10.986,53.284,17.639
0.940,0.687,0.765,-14.648,42.542,18.982
0.941,0.719,0.764,-16.113,26.489,21.729
0.939,0.821,0.706,-17.822,11.597,21.973
0.929,0.815,0.708,-22.095,-4.761,15.503
0.898,0.723,0.717,-27.100,-17.578,7.935
0.869,0.715,0.727,-26.917,-26.306,5.920
0.849,0.719,0.704,-21.667,-31.067,6.287
0.831,0.694,0.678,-14.893,-34.607,5.920
0.786,0.663,0.684,-7.812,-38.147,6.104
0.717,0.635,0.702,-1.892,-39.734,6.226
0.715,0.585,0.723,3.113,-38.513,6.287
0.655,0.593,0.727,4.883,-34.607,8.118
0.660,0.589,0.714,7.446,-28.992,8.545
0.655,0.604,0.741,10.376,-23.682,8.911
0.660,0.651,0.720,14.832,-15.869,9.216
0.646,0.659,0.678,20.081,-7.446,6.775
0.670,0.656,0.636,23.743,-2.197,3.296
0.647,0.641,0.585,24.902,0.244,1.221
0.638,0.644,0.580,24.902,-0.916,-0.916
0.630,0.631,0.600,24.048,-4.028,-3.662
0.624,0.614,0.596,22.644,-6.287,-7.263
0.615,0.596,0.598,20.630,-8.728,-10.376
0.616,0.560,0.628,18.127,-10.803,-12.756
