aX,aY,aZ,gX,gY,gZ
-0.101,0.065,0.594,-33.508,-16.479,-35.461
-0.111,-0.018,0.559,-36.682,-15.442,-37.048
-0.121,-0.030,0.516,-33.630,-16.602,-34.607
-0.122,-0.004,0.533,-28.687,-22.400,-31.738
-0.135,-0.020,0.615,-25.513,-30.457,-31.677
-0.131,-0.079,0.689,-24.719,-35.950,-33.447
-0.135,-0.126,0.781,-25.269,-38.940,-34.058
-0.189,-0.131,0.847,-29.480,-38.879,-34.302
-0.198,-0.161,0.922,-38.391,-37.964,-36.743
-0.231,-0.193,1.042,-51.331,-36.499,-40.649
-0.257,-0.239,1.171,-67.810,-33.997,-45.410
-0.265,-0.332,1.260,-84.106,-28.076,-51.331
-0.258,-0.441,1.319,-95.459,-21.790,-56.274
-0.233,-0.443,1.278,-100.830,-15.381,-55.786
-0.194,-0.351,1.268,-102.966,-14.954,-52.917
-0.165,-0.223,1.327,-103.210,-21.240,-53.955
-0.156,-0.154,1.386,-105.774,-27.588,-62.317
-0.178,-0.182,1.455,-110.229,-33.386,-75.623
-0.214,-0.224,1.523,-108.948,-37.537,-87.341
-0.253,-0.221,1.686,-104.065,-42.725,-94.604
-0.298,-0.270,1.872,-102.417,-44.434,-101.563
-0.331,-0.467,1.953,-105.469,-36.621,-109.497
-0.338,-0.531,1.984,-106.445,-23.804,-108.276
-0.322,-0.342,1.997,-96.008,-11.719,-93.384
-0.312,-0.200,1.898,-77.393,-0.244,-79.102
-0.272,-0.135,1.706,-57.678,6.653,-69.031
-0.238,-0.044,1.531,-39.124,3.784,-58.655
-0.208,0.029,1.459,-24.292,-5.737,-52.612
-0.204,0.102,1.489,-9.705,-18.250,-51.819
-0.193,0.091,1.627,5.188,-30.701,-55.176
-0.179,-0.074,1.775,16.174,-37.964,-61.523
-0.143,-0.265,1.832,27.039,-37.842,-60.303
-0.117,-0.296,1.854,38.391,-33.936,-45.898
-0.113,-0.213,1.831,50.232,-28.015,-25.696
-0.081,-0.077,1.718,63.538,-19.775,-8.118
-0.047,0.091,1.565,77.515,-13.184,3.235
-0.011,0.183,1.446,90.332,-10.803,6.104
0.020,0.177,1.338,101.135,-10.132,2.441
0.031,0.150,1.217,110.596,-8.545,-2.197
0.036,0.078,1.209,114.868,-9.949,-5.615
0.031,-0.104,1.305,111.450,-11.230,-8.850
0.034,-0.188,1.347,104.065,-4.150,-5.920
0.028,-0.140,1.320,97.839,9.399,1.953
0.042,-0.126,1.276,89.355,23.804,8.362
0.053,-0.155,1.178,79.895,39.856,12.451
0.073,-0.045,0.948,73.853,56.335,19.653
0.072,0.120,0.789,71.838,63.477,28.687
0.091,0.222,0.715,68.115,62.683,28.442
0.114,0.258,0.629,63.843,61.768,24.048
0.134,0.246,0.504,58.350,61.462,17.029
0.116,0.278,0.396,55.176,58.411,11.169
0.082,0.310,0.353,50.232,51.147,4.761
0.073,0.354,0.403,39.368,43.152,-3.357
0.049,0.338,0.467,28.748,39.490,-15.503
0.008,0.201,0.453,16.968,43.335,-29.968
0.017,0.140,0.446,7.812,49.622,-36.621
-0.007,0.216,0.393,10.315,55.908,-35.522
-0.025,0.312,0.365,2.014,65.674,-39.124
-0.074,0.361,0.247,0.610,77.454,-48.950
-0.069,0.321,0.039,-3.052,88.989,-61.096
-0.066,0.247,-0.081,-11.719,93.323,-72.937
-0.088,0.161,-0.077,-27.222,91.919,-86.182
-0.214,-0.119,-0.084,-58.716,95.093,-105.103
-0.211,0.040,-0.223,-69.336,101.746,-106.506
-0.135,0.234,-0.237,-57.434,103.882,-104.797
-0.134,0.109,-0.137,-49.927,97.046,-118.530
-0.162,-0.055,-0.047,-32.349,92.041,-131.958
-0.263,-0.042,0.084,-6.287,87.891,-138.489
-0.279,-0.196,0.222,9.338,90.820,-140.503
-0.130,-0.119,0.306,8.789,103.027,-122.192
-0.078,0.237,0.247,-31.738,120.422,-100.098
-0.011,0.678,0.065,-95.886,137.024,-103.699
0.077,0.990,-0.117,-154.846,141.907,-141.479
0.142,0.917,-0.279,-206.177,133.240,-199.463
0.081,0.664,-0.389,-251.221,105.408,-251.526
-0.017,0.119,-0.350,-284.119,60.608,-285.461
-0.058,-0.282,-0.007,-299.927,9.827,-288.147
-0.020,-0.221,0.367,-283.447,-22.217,-251.892
-0.023,-0.012,0.500,-217.773,-22.766,-211.182
0.044,0.143,0.645,-133.057,-12.268,-185.608
0.064,0.439,0.816,-52.917,-7.874,-172.668
0.051,0.560,1.076,-17.334,-7.263,-179.321
0.002,0.078,1.303,-17.883,-9.216,-207.458
-0.077,-0.412,1.298,-22.949,-5.737,-216.370
-0.067,-0.343,1.209,-31.250,-3.296,-190.918
0.015,0.167,1.130,-28.748,-4.639,-160.034
0.010,0.544,1.013,-23.682,-4.089,-155.701
0.003,0.455,0.829,-17.761,-0.427,-180.725
0.010,0.073,0.658,-13.184,-0.427,-206.421
-0.081,-0.396,0.543,-11.780,-0.122,-211.853
-0.105,-0.624,0.567,-9.277,-3.357,-196.411
-0.218,-0.607,0.552,1.953,-5.920,-167.419
-0.441,-0.751,0.568,15.930,-12.939,-150.208
-0.582,-0.973,0.872,25.391,-30.701,-143.921
-0.717,-0.868,1.372,36.743,-39.795,-128.845
-0.727,-0.476,1.842,45.410,-23.499,-115.295
-0.701,-0.718,1.838,14.343,23.743,-128.418
-0.613,-1.079,1.290,-8.301,91.003,-136.719
-0.463,-0.945,0.680,-8.118,141.113,-109.619
-0.240,-0.420,0.464,17.273,152.039,-69.275
-0.069,0.195,0.533,48.279,139.587,-46.692
-0.005,0.165,0.525,72.998,130.859,-56.946
-0.064,-0.728,0.557,95.581,125.183,-80.994
0.059,-1.320,0.858,132.141,109.070,-61.279
0.212,-1.198,1.224,176.514,98.022,11.047
0.168,-0.979,1.393,164.917,95.520,84.045
0.057,-1.260,1.285,92.468,89.783,118.408
0.219,-1.580,1.679,14.099,63.049,141.907
0.364,-0.548,2.225,-7.751,48.645,185.181
0.212,0.493,2.386,-70.068,77.698,194.702
0.148,0.035,2.043,-208.374,143.616,114.136
0.097,-1.001,0.803,-313.477,243.042,55.725
0.064,-0.560,0.110,-307.373,273.376,86.853
0.086,0.193,0.363,-278.442,233.459,132.080
0.167,0.240,0.794,-270.996,215.942,131.287
0.296,0.334,1.414,-235.291,220.703,130.798
0.132,0.267,1.807,-158.936,234.375,139.587
0.105,-0.244,1.250,-109.558,275.635,137.207
0.392,0.211,0.067,-36.560,308.716,164.124
0.975,1.340,-0.440,59.143,275.513,192.444
1.451,1.824,-0.164,127.563,196.289,166.016
1.708,1.951,0.214,144.043,126.892,108.032
1.312,0.991,0.886,54.077,85.632,39.185
1.175,0.062,1.445,-13.977,92.896,8.179
1.144,0.024,1.867,-108.826,133.057,35.950
1.073,0.490,2.554,-147.583,161.072,68.054
0.796,0.072,2.624,-189.087,188.110,42.480
0.720,-1.307,1.412,-231.018,248.962,-9.338
0.888,-1.544,-0.158,-204.773,306.702,12.085
0.927,-0.348,-1.616,-78.979,330.383,106.323
1.073,1.064,-2.217,-19.104,298.401,161.804
1.225,1.686,-2.658,-27.893,244.141,134.094
1.561,0.773,-2.418,-97.168,176.392,62.073
1.932,0.174,-1.232,-145.996,110.901,15.076
1.569,0.042,1.507,-139.893,43.213,2.563
0.516,-0.852,4.000,-133.057,31.677,-2.258
-0.525,-1.718,4.000,-129.517,216.370,25.879
-1.515,-2.010,3.164,-51.086,509.888,132.202
-1.748,0.263,1.557,44.678,667.358,340.759
-2.539,3.706,-1.547,94.604,758.606,547.913
-2.457,4.000,-4.000,-73.364,800.842,545.471
-2.073,3.945,-4.000,-235.168,757.019,367.798
-1.145,2.526,-4.000,-144.470,614.136,210.999
-0.416,3.227,-4.000,-54.321,362.915,196.655
0.312,3.262,-4.000,-0.305,104.126,159.302
0.776,2.056,-3.352,10.742,-53.467,68.054
1.465,1.980,-1.890,42.786,-115.173,24.780
1.851,1.578,0.030,38.757,-139.954,-2.319
1.864,0.331,1.058,-10.254,-81.360,-43.884
1.645,0.051,0.439,-20.325,71.533,-36.865
1.255,0.405,-1.018,17.700,197.510,5.981
0.737,0.597,-2.124,23.071,211.426,29.236
0.205,0.409,-2.377,10.498,147.461,23.743
-0.250,-0.074,-1.711,-22.156,64.453,17.395
-0.428,-0.152,-0.897,-70.679,6.165,23.865
-0.044,-0.163,0.657,-90.759,-30.090,28.259
0.303,-0.034,2.639,-68.787,-41.870,40.894
0.436,-0.030,3.370,-42.236,38.330,54.871
0.287,-0.124,2.526,-2.625,174.927,69.763
0.097,-0.462,1.225,95.642,272.217,91.553
-0.238,-0.135,0.080,189.514,297.485,138.977
-0.359,0.187,-0.682,182.007,270.081,169.495
-0.373,0.240,-1.064,125.000,215.759,153.564
-0.427,-0.136,-1.067,73.425,145.996,122.437
-0.490,-0.441,-1.118,85.144,86.914,129.883
-0.332,0.088,-1.083,169.250,51.331,200.867
0.019,1.355,-1.132,257.446,30.151,289.795
0.227,2.656,-0.720,301.331,-0.305,320.007
0.688,3.039,-0.350,239.990,-6.165,268.677
0.630,2.795,-0.225,151.672,12.451,192.505
0.182,2.108,-0.526,81.482,26.917,123.962
-0.120,2.185,-1.058,46.021,45.227,108.032
-0.453,2.470,-1.734,43.396,73.303,132.690
-0.311,2.272,-1.359,20.813,62.866,104.919
-0.350,0.878,-0.618,-65.186,29.175,36.682
-0.663,0.537,-0.290,-68.359,37.842,14.893
-0.480,0.546,-0.113,-61.584,64.270,30.701
-0.409,-0.188,-0.202,-73.853,111.450,48.767
-0.489,0.422,-0.101,-29.968,147.949,129.761
-0.244,1.061,0.200,3.784,164.917,168.030
-0.171,1.078,0.378,22.766,181.030,152.954
-0.199,0.375,-0.166,42.175,193.420,131.287
-0.019,1.546,0.217,130.737,151.428,133.911
0.274,2.177,0.904,127.258,126.221,93.262
0.152,1.767,0.444,81.726,195.129,12.695
-0.115,0.893,0.005,31.189,246.460,-50.781
-0.491,0.598,-0.232,27.283,271.545,-43.396
-0.540,0.520,-0.332,58.289,291.443,-5.310
-0.449,0.652,-0.108,51.941,306.641,34.241
-0.544,0.825,0.059,58.594,326.294,68.054
-0.698,0.964,-0.025,95.886,346.802,84.778
-0.841,1.158,-0.674,136.169,360.046,93.567
-0.873,1.693,-1.372,103.027,329.834,92.957
-0.783,1.530,-1.812,52.917,232.849,57.495
-0.814,0.889,-0.811,32.043,96.985,19.165
-0.836,0.621,-0.027,60.669,15.015,23.560
-0.779,0.666,-0.116,66.345,13.977,53.345
-0.716,0.954,0.113,45.959,13.062,72.754
-0.800,0.981,0.049,35.156,16.907,69.458
-1.096,0.693,-0.170,26.428,26.672,59.448
-1.204,0.732,-0.156,29.724,22.278,76.477
-1.427,-0.527,-0.877,42.114,8.911,113.525
-1.173,2.408,0.430,80.200,-32.227,205.139
-1.299,0.424,-0.399,96.191,-6.104,173.706
-1.880,-0.256,-0.859,72.449,0.732,155.151
-1.851,0.530,-0.322,117.126,-64.575,276.367
-1.632,0.959,-0.037,139.648,-101.807,361.755
-1.381,2.059,0.611,150.085,-106.506,387.634
-1.256,2.004,0.428,128.479,-63.049,308.899
-1.190,1.388,0.044,80.444,-33.203,213.196
-1.114,1.066,0.281,64.575,-45.898,171.875
-1.255,1.081,0.844,63.354,-71.106,157.532
-1.159,1.036,1.111,69.824,-62.622,127.441
-1.110,0.764,1.003,91.003,-33.813,92.468
-0.967,0.253,0.762,97.229,-24.963,59.143
-0.588,-0.170,0.616,95.581,-46.143,43.213
-0.346,-0.265,0.536,99.548,-83.191,53.162
-0.391,-0.329,0.520,88.867,-109.314,77.515
-0.502,-0.431,0.485,66.162,-122.620,106.201
-0.740,-0.182,0.474,62.439,-125.366,152.771
-0.822,0.310,0.280,70.740,-114.807,202.942
-0.601,0.730,-0.076,78.918,-105.774,230.774
0.447,1.105,0.231,53.162,-126.709,237.976
0.674,1.341,1.109,-8.789,-171.814,206.665
0.180,1.107,0.916,-37.903,-179.443,131.287
-0.139,0.678,-0.118,-40.222,-142.639,62.805
-0.309,0.442,-0.776,-49.622,-124.817,38.574
-0.278,0.247,-0.896,-58.350,-132.324,36.011
0.090,0.123,-0.644,-75.867,-154.663,35.767
0.311,0.351,-0.259,-73.853,-173.706,50.171
0.204,0.755,0.078,-72.449,-171.692,64.270
-0.012,1.103,0.315,-77.026,-146.912,55.603
-0.172,1.239,0.403,-67.200,-109.741,28.259
-0.495,1.238,0.272,-44.922,-73.914,-1.831
-0.968,1.162,0.017,-21.973,-48.889,-38.086
-1.417,0.730,-0.293,-16.663,-38.635,-91.125
-1.502,0.118,-0.094,-22.583,-42.114,-130.554
-0.914,-0.228,1.281,2.014,-66.528,-138.977
-0.885,-0.317,2.221,24.353,-58.838,-128.113
-1.373,-0.286,1.851,72.021,25.146,-102.844
-1.744,0.123,0.629,137.939,135.803,-63.904
-1.922,0.967,-0.458,191.406,200.317,-18.311
-1.811,1.699,-0.872,190.979,203.430,-7.141
-1.129,1.478,-1.047,152.283,170.410,-45.898
-0.288,0.825,-0.761,113.892,109.741,-79.102
0.009,0.597,-0.081,78.430,34.302,-57.800
-0.185,0.722,-0.061,51.941,-2.869,-20.203
-0.395,0.932,-0.772,35.278,-2.502,10.376
-0.474,1.332,-0.969,5.127,-22.827,29.785
-0.328,1.345,-0.433,-36.926,-63.660,11.169
-0.082,1.009,0.079,-86.487,-76.721,-30.090
0.096,0.474,0.528,-112.549,-55.054,-75.317
0.148,-0.304,1.074,-157.776,-17.273,-111.938
-0.321,-0.744,1.211,-164.429,38.391,-88.623
-0.827,-0.200,0.264,-73.975,120.117,-17.761
-1.129,0.870,-0.453,-3.174,164.490,25.757
-1.349,1.526,-0.598,10.437,160.278,-8.423
-1.553,1.677,-0.653,26.062,152.832,-91.248
-1.823,1.551,-0.733,47.119,149.658,-179.321
-4.000,-4.000,-1.760,95.093,143.616,-206.238
-1.732,0.426,-0.100,409.973,113.586,300.842
-0.626,0.135,0.742,472.412,99.976,617.493
-1.047,0.289,0.670,247.620,85.144,650.940
-1.796,0.657,0.653,433.655,106.262,642.639
-0.568,0.448,0.000,692.383,167.603,655.884
-1.013,0.369,-0.679,511.230,122.009,692.505
-2.042,-0.168,-2.665,455.872,72.266,769.409
-1.328,-1.669,-1.670,351.074,168.152,871.582
-0.692,-0.485,-0.557,-137.695,275.696,790.344
-0.340,-0.131,-0.243,-521.118,343.872,530.396
-0.528,0.289,-0.124,-567.261,361.938,313.416
-0.561,0.331,0.054,-514.282,354.492,190.674
-0.482,0.349,-0.018,-376.648,341.858,129.211
-0.115,-1.568,1.831,-240.234,315.369,128.357
-0.372,-0.304,1.276,-62.744,416.504,240.662
-0.265,-0.116,-0.125,273.865,508.850,288.696
-0.182,-1.725,0.536,53.467,438.904,210.388
-0.067,-0.670,0.153,21.973,433.716,187.683
-0.125,-1.814,0.686,-97.839,453.857,117.615
-0.556,-0.611,-0.059,-34.241,525.391,108.276
1.460,-0.382,-0.709,-142.029,549.377,35.645
0.243,-1.702,-1.054,-160.522,360.718,-16.113
0.162,-0.972,3.521,-855.469,-22.400,-219.727
-0.307,-0.543,1.521,-626.099,-96.130,-315.186
-0.330,-0.393,1.613,-592.834,-146.667,-301.025
-0.283,-0.130,0.562,-449.402,-151.367,-243.103
-0.219,-0.091,-0.358,-407.104,-143.982,-224.060
-0.129,0.016,1.934,-521.301,-123.840,-240.784
-0.086,-0.149,1.114,-125.488,-22.522,-268.860
-0.086,-0.341,0.933,-1.831,-13.916,-239.746
-0.096,-0.233,1.113,14.954,-23.315,-188.171
-0.082,-0.146,0.996,27.710,-22.095,-156.433
-0.083,-0.200,1.141,21.729,-26.794,-161.743
-0.108,-0.196,1.180,-19.348,-26.306,-159.241
-0.127,-0.193,1.110,-45.715,-27.527,-154.480
-0.176,-0.194,0.882,-58.533,-31.128,-145.813
-0.155,-0.192,0.977,-55.664,-29.907,-135.193
-0.149,-0.156,0.964,-41.565,-28.748,-123.901
-0.147,-0.139,1.060,-35.156,-23.132,-118.530
-0.240,-0.165,0.935,-35.522,-13.550,-120.728
-0.222,-0.212,0.947,-25.879,-1.160,-125.183
-0.320,-0.278,0.944,-2.136,13.306,-124.451
-0.370,-0.323,0.863,27.954,28.015,-117.310
