aX,aY,aZ,gX,gY,gZ
-0.397,-0.592,1.729,-60.608,-29.785,-39.795
-0.360,-0.387,1.688,-51.758,-19.592,-21.729
-0.318,-0.201,1.636,-42.908,-13.611,-9.827
-0.292,-0.143,1.613,-34.302,-12.756,-7.324
-0.271,-0.223,1.589,-27.466,-13.245,-9.094
-0.300,-0.505,1.690,-24.353,-12.451,-12.085
-0.298,-0.700,1.543,-19.470,-7.690,-1.221
-0.266,-0.422,1.635,-4.272,-13.000,29.419
-0.218,-0.193,1.783,4.822,-18.494,47.119
-0.175,-0.173,1.731,7.446,-12.390,46.509
-0.156,-0.189,1.638,9.033,-5.676,44.678
-0.142,-0.167,1.658,11.902,-4.639,46.021
-0.144,-0.146,1.643,13.367,-1.648,46.143
-0.146,-0.146,1.553,13.611,4.700,44.312
-0.168,-0.159,1.508,13.489,8.667,42.908
-0.187,-0.138,1.529,15.686,11.353,43.457
-0.203,-0.138,1.555,20.874,15.930,43.823
-0.238,-0.161,1.550,26.367,22.217,43.945
-0.265,-0.110,1.577,30.945,28.381,47.119
-0.277,-0.039,1.577,33.386,35.706,50.293
-0.282,-0.006,1.487,33.691,45.471,51.514
-0.260,0.031,1.349,33.875,53.833,51.697
-0.227,0.136,1.225,36.682,57.495,52.429
-0.186,0.246,1.111,40.955,57.068,50.354
-0.153,0.298,0.980,45.105,53.955,43.396
-0.106,0.277,0.860,48.767,48.157,33.875
-0.100,0.206,0.807,54.565,39.429,24.902
-0.090,0.145,0.798,59.570,31.311,17.944
-0.075,0.113,0.792,62.134,26.855,12.695
-0.076,0.085,0.708,63.049,26.855,7.263
-0.060,0.050,0.606,63.477,27.649,1.282
-0.054,0.036,0.565,63.416,26.489,-2.991
-0.044,0.005,0.541,61.584,26.489,-7.324
-0.050,-0.041,0.503,58.105,29.114,-11.902
-0.058,-0.091,0.463,52.856,32.959,-15.015
-0.066,-0.122,0.429,46.875,35.828,-15.869
-0.076,-0.145,0.437,40.161,36.682,-15.442
-0.078,-0.166,0.442,32.837,37.659,-13.916
-0.078,-0.168,0.402,27.527,41.138,-11.047
-0.071,-0.116,0.360,22.766,43.335,-7.568
-0.071,-0.052,0.348,16.479,41.992,-5.493
-0.066,-0.048,0.380,8.484,38.330,-6.958
-0.059,-0.088,0.431,0.122,35.095,-9.216
-0.069,-0.084,0.422,-5.127,34.973,-7.935
-0.057,-0.025,0.362,-8.362,36.255,-4.761
-0.042,0.049,0.328,-11.108,34.119,-3.662
-0.046,0.081,0.351,-13.794,27.954,-6.165
-0.052,0.052,0.388,-16.235,21.606,-10.681
-0.051,0.025,0.378,-16.968,17.212,-13.306
-0.048,0.068,0.375,-16.357,12.085,-12.939
-0.039,0.157,0.386,-16.602,5.005,-11.719
-0.033,0.225,0.415,-19.043,-1.831,-14.160
-0.037,0.248,0.467,-22.034,-7.874,-20.569
-0.067,0.189,0.547,-26.978,-13.367,-29.053
